,,Name,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
23,,npppp32,61724014215,"2023-10-22 07:54:59",0,"Kita harus mampu memanfaatkan bonus Demografi",18058275820476380,https://www.instagram.com/npppp32/,https://www.instagram.com/p/Cyhkzsayg5q/c/18058275820476380
24,,bzbzb_xbdn,62306783351,"2023-10-22 07:55:13",0,"bismillah doa para ulama untuk ganjar memimpin bangsa😍",17918674139807120,https://www.instagram.com/bzbzb_xbdn/,https://www.instagram.com/p/Cyhkzsayg5q/c/17918674139807120
25,,gurjar22548,56841129284,"2023-10-22 07:55:37",0,"Keren banget pak Ganjar 👏🔥",18315682096106446,https://www.instagram.com/gurjar22548/,https://www.instagram.com/p/Cyhkzsayg5q/c/18315682096106446
26,,sahil_1475_,52038399663,"2023-10-22 07:56:07",0,"Paling masuk akal ini udah🔥",18009859222983527,https://www.instagram.com/sahil_1475_/,https://www.instagram.com/p/Cyhkzsayg5q/c/18009859222983527
27,,djpavan162,62227905334,"2023-10-22 07:57:48",0,"Gak nyangka kalau Pak Ganjar bisa juga ngelawak😂",18022278013756067,https://www.instagram.com/djpavan162/,https://www.instagram.com/p/Cyhkzsayg5q/c/18022278013756067
28,,officialmonu518,62442992412,"2023-10-22 07:58:08",0,"Hebat banget selalu visioner kedepan",17897948627896656,https://www.instagram.com/officialmonu518/,https://www.instagram.com/p/Cyhkzsayg5q/c/17897948627896656
29,,afroz_000001,62700300027,"2023-10-22 07:59:44",0,"Insyaallah presiden pak 🇮🇩🇮🇩🇮🇩🤟🤟🤟🤟👍👍👍👍👌👌👌👌💪💪💪💪",18004126030943793,https://www.instagram.com/afroz_000001/,https://www.instagram.com/p/Cyhkzsayg5q/c/18004126030943793
30,,yggy716,61570388213,"2023-10-22 08:00:07",0,"1 2 makan ati, pak ganjar selalu di hati 🫶",18026282941680901,https://www.instagram.com/yggy716/,https://www.instagram.com/p/Cyhkzsayg5q/c/18026282941680901
31,,khorshidgheysari540007,62672590519,"2023-10-22 08:00:31",0,"Walau bukan dari jateng, tapi bangga lihat kinerjanya mas ganjar 👍",18011813818820204,https://www.instagram.com/khorshidgheysari540007/,https://www.instagram.com/p/Cyhkzsayg5q/c/18011813818820204
32,,zarura20245,62678781960,"2023-10-22 08:00:34",0,"Wah,dapet job baru nih mas ganjar.. 😍",18399854122030927,https://www.instagram.com/zarura20245/,https://www.instagram.com/p/Cyhkzsayg5q/c/18399854122030927
33,,nreshit,62401348437,"2023-10-22 08:00:40",0,"Kepedulian Pak Ganjar terhadap guru menciptakan iklim pendidikan yang positif.",17930046590776198,https://www.instagram.com/nreshit/,https://www.instagram.com/p/Cyhkzsayg5q/c/17930046590776198
34,,life___haskar,53632028667,"2023-10-22 08:01:34",0,"Selalu suka kalau Pak Ganjar ngomong akutu",18024362608737838,https://www.instagram.com/life___haskar/,https://www.instagram.com/p/Cyhkzsayg5q/c/18024362608737838
35,,nidhi_nishad76,62246345721,"2023-10-22 08:01:35",0,"Kerenn, ayo bawa Indonesia menuju yg lebih baik pak, smngat terus",18068768563438907,https://www.instagram.com/nidhi_nishad76/,https://www.instagram.com/p/Cyhkzsayg5q/c/18068768563438907
36,,touheed6932,62702091635,"2023-10-22 08:01:59",0,"maju terus pak ganjar jangan sampe lolossss",17999822834013606,https://www.instagram.com/touheed6932/,https://www.instagram.com/p/Cyhkzsayg5q/c/17999822834013606
37,,abduyuda,61753894695,"2023-10-22 08:02:24",0,Andalanku🔥,18306884533115400,https://www.instagram.com/abduyuda/,https://www.instagram.com/p/Cyhkzsayg5q/c/18306884533115400
38,,_vaishu.1,59391816633,"2023-10-22 08:02:25",0,"Gagasan pak Ganjar luar biasa aku dukung pastinya",17914843076818390,https://www.instagram.com/_vaishu.1/,https://www.instagram.com/p/Cyhkzsayg5q/c/17914843076818390
39,,arshia____barzgar_451040,62500766203,"2023-10-22 08:02:35",0,"Mau sekolah gratis ? Pilih Ganjar 👍",18001228256495137,https://www.instagram.com/arshia____barzgar_451040/,https://www.instagram.com/p/Cyhkzsayg5q/c/18001228256495137
40,,beep3744,62068082151,"2023-10-22 08:03:10",0,"Pemimpin yang bijaksana itu Pak Ganjar,sukses selalu pak🔥#gaspolganjar",18005805575012236,https://www.instagram.com/beep3744/,https://www.instagram.com/p/Cyhkzsayg5q/c/18005805575012236
41,,vivviii.lly_,61294083094,"2023-10-22 08:05:13",0,"Penjelasan yang mudah dimengerti",18014359660765831,https://www.instagram.com/vivviii.lly_/,https://www.instagram.com/p/Cyhkzsayg5q/c/18014359660765831
