,0
356,"Pesan pak Anies, untuk yang mendukung pasangan AMIN jangan Sampek menjelek-jelekan Paslon lain, dan Pesan ibunda pak Anies kita tidak punya kekuatan kita hanya punya Doa doa dan doa,  masyaallah kita doakan semoga pasangan AMIN menang 2024🤗🤲. Dan untuk pak Prabowo, pak Ganjar, pak Mahfud, pak Anies, Gus Muhaimin, oyya satu lagi mas Gibran, kalian semuanya putra² terbaik bangsa 🤗 Sehat selalu semuanya 🤍🤗 dan khusus mas Gibran selamat berkompetisi mas, semoga menjadi pengalaman yang baik untuk karir mas Gibran. Semangat semuanya 🤗"
357,"Blunder, haruse pilih dr kalangan NU tulen"
358,Kasian sungguh kasian apa mau di kata memang tak ada gading yang tak retak... Hancur sudah nama baik yang selama ini di perjuangkan @jokowi @gibran_rakabuming
359,"Kok makin terang2an, sebegitunya meremehkan rakyat, apa dimata kalian segini gobloknya rakyat indonesia? Rakyat wes pinter2 bos, wes ngerti mana yg main2 mana yg serius. Rakyat tau calon2 yg modal tv buat bagusin citranya. Rakyat tau calon2 yg menegakkan keadilan tp di media citranya di injak2. Ingat, di saat rakyat kehilangan kepercayaan, negara ini kehilangan segala galanya."
360,"Sip, Pak Erick fokus PSSI saja. Masih banyak PR soalnya."
361,juling
362,Makin ga dipilih aja inimah.. pdhl daftar ulang lho😢
363,Prabowo Gibran 🔥
364,Ttp Ganjar....
365,Ya ampun
366,Prabowo menang Gibran Presiden
367,TAHUN INI MAAF PAK @prabowo 😢🙏🏻 saya 2thun milih bpk. Tpi thun ini tdk karna cawapres bpk.
368,INSYA ALLAH PS/GIBRAN RI 1 2024 🔥🔥
369,Bapak nya boleh pensiun tapi anak nya jadi wakil wkwk ngeri politik indo.. punya orng dalam jadi apapun bisa hahahaha
370,😂😂😂
371,😂😂😂😂😂😂 negara ini lagi bercanda bercanda 😂😂
372,Wkwkwkwk
373,Wkwkkwkwk
374,Nggak bayangin pas debat cawapres Gibran vs mafud 😂
375,"Sumpah no respect bgt... Laki-laki yg dipegang omongannya, dulu blg gk mau ke politik, tp nyatanya skrg.... 😂😂😂"
376,Gibran wapres? Wah sebodoh itukah tokoh2 8 parpol itu?
377,Di korbanin 😢
378,"Ternyata Jokowi haus kekuasaan juga, cukup tau aja ya, hilang sudah rasa kagum saya ke jokowi"
379,"Kalo misalkan Prabowo menang, tiba2 di meninggal (Worst case scenario) pada masa jabatan nya. Maka di gantikan oleh Gibran? What a JOKE 😂😂😂 ! Indonesia Aneh !"
380,Haha MK bnr2 mahkamah keluarga..
381,Pilih Asal Bukan Prabowo Gibran
382,Mantap mas GIBRAN... Lanjutkan
383,horeee... Koalisi Indonesia Mundur akhir maju pemilu 2024 utk menambah rekor @prabowo  kalah lg!!!
384,"Kalo gak dipecat, berarti PDI punya 2 calon akhirnya"
385,ingat rekam digital bocil karbitan jgn mencla-mencle lg kl ditanya wartawan.. 😂😂😂
386,Wis berharap yg jd wakil @ridwankamil  atau e
387,Ganjar Mahfud pasti pemenangnya🤟✊
388,Kasian pak prabowo.. sepertinya jd korban
389,"Kaesang pilih non redbull kemudian disusul gibran keluar dr redbull, next apakah ada lagi?"
390,Semoga ngak menang mau dibawa kemana negars ini aduh jokowi tega kali kau mengiakan ini
391,Hati2 kesandung bre
392,Mahkamah keluarga
393,AMIN
394,Tetep anies baswedan🔥🔥🔥🔥
395,Mending pak Ganjar dan pak Mahfud tahun 2024
396,#salamakalsehat  #welcometowakanda MK ( mahkamah keluarga)
397,"KAREPMU, YG PENTING PAK ET TETAP DI PSSI ..."
398,Pokoke GAMA
399,Pasti rame debat wapres
400,Blunder sih
401,"Dia pikiri mimpin negara seperti buat martabak dan buka catering x 😂, anda gk sadar di manfaatin politisi2 busuk untuk mempermudah misi mereka marampok negara ?"
402,Ini lagi PEAA 😂
403,Rungkad sdh kirain sama yusril
404,"Menarik sih penetapan capres/cawapres pemilu 2024,intrik,dinamis dan ngeri"" sedap. Politik emang semerauk gitu. Tp Ganjar-Mahfud lebih realistis."
405,"Bagi saya ....Mungkin Terlalu dini buat Mas Gibran untuk maju d Bursa Negara... Kalau Kelas Gubernur pasti saya Pilih... Buat Negara , Jangan untuk ajang Coba2... Maaf... 🙏🙏"
406,Ahh tai lo
407,Amin
408,Mantap
409,persis bapakke...
410,Jelas Prabowo kalah lagi.gibran memang bagus cuman blm siap secara pengalaman utk melawan oknum politikus nakal republik ini jd msh butuh jam terbang utk mas Gibran jd wakil presiden.sya berharap Prabowo memilih Ridwan Kamil jd cawapres.tp ini nama politik yg lawan bs kawan yg kawan bs jd lawan ya kita rakyat biasa cm bs penonton dlu
411,Blunderrrr ga beresas
412,"Aku seumur idup punya ktp, ini kayaknya pertama kalinya aku golput pak"
413,"Kalau gini kenyataannya, fixs ke ganjar mahfud jatohnya"
414,Kapok Pemilu euy
415,Tunggu sesi debat capres cawapres aja. Kita kawal terus. Setuju?
416,😂😂😂😂 politik wasuuu...
417,We'll see kalian mau pakai cara picik apalagi? Sudah terang benderang negeri ini lihat drama kalian
418,Haduuu mas ahy disalip bocil
419,Kasiah AHY dan erick tohirZ hayu gabung GPM aja
420,Insyaallah. Fix. Satu putaran. Selamat dan sukses Prabowo - Gibran.
421,"Gak ngaruh...., paling cuma di manfaatin doang. Ganjar-Mahfud ttp didepan.."
422,"80% komen, blundar blunder. Koar""  kalian ini ibarat 13% suara lawan dia di pilkada solo. Inget bung, bany boomer itu gak main sosmed, jadi peringgi parpol itu gak liat acuan dari koar"" netizen. 2019 juga rame di soamed hastag #2019gantipresiden tapi apa😂😂😂"
423,🫣🫣🫣
424,Mantap mas Gibran....
425,"Ko pada sewot ya mk ngesain uu yg ngebantu gibran buat maju, bkn nya di indonesia udah jadi hal biasa begitu😂 org mau kerja make org dalam, sanak keluarga yg bawa😂 kalo gua mah gk kaget. Ya tinggal liat aja kepilih apa kgk dia, bisa kerja apa kgk nanti😂 kalo gk biaa ya kita salahin 1 keluarga😂"
426,ANIES 2024 🔥🔥🔥
427,"Cikini ke klender, lo buat gini malah jadi blunder.."
428,Auu amaaaddd
429,NGGAK MUNGKIN NEGARA INI DISERAHKAN KE PENCULIK DAN ANAK-ANAK.
430,😂😂
431,Lagi gencar bangun jalan tol ya😂
432,"Asli opa wowo kasian,record daah 2024 inj,man of theterulanglagi"
433,Gak respek. Omongan mencla mencle
434,Sasuke boruto
435,"Gue oke sama prabowo, tp tdk utk gibran.... Negara bukan utk cb cb...."
436,"Yah gak seru, udah kelar acaranya. Yuk balik ke rutinitas masing2, canda tawa sesama manusia lebih penting."
437,😢
438,Sedih lihat DINASTI politik 😢
439,Planga plongo
440,Lol :v
441,"Apa ini taktik PDI untuk hatrick ,otomatis anis cakimin suara terendah 😂"
442,Belum saat nya seharusnya mass gibran..
443,Terlalu cepat.. aku prefer mas gibran tunggu usia 40 tahun dlu.. g lama kok itu
444,AHY part 2
445,Kita akan di prank berkali2 lagi...
446,"Mas Gibran pilihanku, 🙏🙏🙏 melanjutkan kembali kerja pak Jokowidodo ku  presiden yang aku banggakan , pak prabowo dan mas Gibran menuju  indonesia maju ,indonesia semakin terdepan"
447,
448,"yg comen blunder,silahkan,yg comen dinasti silahkan,yg dukung siap saja silahkan,tapi inget satu hal,siapapun presidennya,kita tetap berjuang sendiri untuk hidup atau menghidupi keluarga kita,nah klo samapi sini,sikapilah politik dengan biasa saja."
449,JOKOWI SEPERTI NYA KETAKUTAN SEKALI
450,JOKOWI HARUS BERTANGGUNG JAWAB ATAS SEGALA KEHANCURAN NEGARA INI
451,Kenapa bukan Pak Erick atau Pak Ridwan Kamil sii? 🔥
452,"Jangan yang jangan (mungkin loh ya), itu hal (mengajukan anak nya sebagai caWapres) adalah jurus pamungkas terakhir Pak Jokowi yang tujuan akhirnya adalah untuk melanggengkan Pak Ganjar Pranowo & Pak Mahfud... 🤭 (sebab adalah blunder politik yang pasti menuai backlash bagi kedua itu pasangan sebab campur tangan konyol MK; orang-orang menjadi MUAK)... NB: Sekalipun setelahnya dari itu jurus, beliau nya menuai sedemikian besar nya itu celaan 🙊🙈🙉 ""Sebab kan dalam politik itu, intrik apapun bisa aja mungkin... "" 🤭😄"
453,Sudahlah males
454,YANG PENTING PRABOWO  PRESIDEN
455,"Kasihan pak prabowo, mending ga usah lanjut daftar ke kpu pak, buang2 duit aja, blunder blunder"
456,"Terserah mau jadi wapres mau jadi capres emang gue pikirin gue mah tetep pilih ganjar mahfud ,dulu disuru pilih rambut putih ehh....sekarang besebrangan dukungan nya gimana si ngebohongin orang"
457,"Udh saat nya giliran yg muda bisa mimpin,,,jgn pakai cara kuno buat mimpin negara .banyak negara maju yg presiden nya malah umur dibawah 40.😌"
458,"Klo mo imbang harusnya prabowo eric tohir, terlalu jomplang sm mas gibran 😂"
459,Hobby kok bikin blunder... 😬
460,Otw losestreak 3x nih😂
461,Boca karbitan akhirnya jadi cawapres juga ya selamat semoga kalian kalah 😂
462,Adu banteng cokkkkk.....
463,Ckckckckckck....
464,"Kalo kata org dulu mah ""yah ga kena ini mah😂"
465,Dia bkn wapres tpi presiden stlah prabowo turun.
466,"knpa pada ngga komplain anaknya SBY,anaknya Megawati,anaknya puan,anaknya Surya Paloh,next anaknya Ganjar nih blm muncul di permukaan aja takut kena jaring nelayan"
467,tadinya ada harapan..kok jadi haraphap..
468,Prabowo mau wapresnya pak RT juga saya pilih 😂
469,Yah blunder lagi pak😢
470,"Mantappppp, Akhirnya Indonesia punya pemimpin MUDA BERPRESTASI & BERKWALITAS #PraGib #Prabowomenang"
471,Pemilu 2024..twrheboh..Ntr hasil pemilu..rame lagi ..gugatan hasil pemilu di MK pasti rame lagi ..😂😂😂..yang penting ekonomi.bisa kerja ..harga terjangkau..politik ma gt..ah tau ah ..
472,الْحَمْدُ لِلّٰهِ وَالشُّكْرُ لِلّٰهِ akhirnya keluar dari ........
473,Terimakasih paman. Dinasti kita akan berlanjut😂
474,"Luar biasa,jalan tol untuk putra mahkota. Politik yang membosankan,mngkin para ptinggi partai tersendera kasus hukum,jadi pada manut dengan putera mahkota negeri wakanda. Selamat"
475,Plot twist🔥
476,"Tdk maslah cb ap yg ia bs perbuat buat negri ini,,,kpk perkuat agar uang negara tdk gampang di maling msh bnyak rakyat yg susah cari mkn,,,kalian enk2 an,,,,atur uud epek jera para prampok uang negara,,,segera perbaiki negeri ini jgn kalian buat hancur,,alam mnydiakan yg ckup kcuali di lampaui oleh ke TAMAK an.."
477,Permainan catur pak @jokowi hebaat..🔥 dengan demikian pak @ganjar_pranowo dan pak @mohmahfudmd yang akan jadi presiden dengan 1 putaran🔥🔥 dan bukan Dinasti karena melalui Pemilu🔥🔥
478,Terimakasih paman🔥😢😂
479,Koalisi besar cawapres nya malah dari partai lain
480,Privilege itu nyaman yah...
481,Kacang lupa kulitnya
482,speechless aku🙂
483,Pemilih rasional memilih pemimpin yang cerdas berintegritas. Bukan yang dompleng popularitas👉❤️
484,Dinasti politik berlanjut Jokowi ga akan serela itu kehilangan kekuasaan. 3periode lewat anaknya tetap bapaknya yang atur .
485,Makin zemangat dukung anirs
486,"Yaay, alhamdulillaah... Ayo dftr segera..."
487,Bismillah Anies dan Cak Imin pilihanku. Allahuakbar
488,Perebutan suara akan seru diantara dua kubu pak Anis & pak Muhaimin dengan pak Ganjar & pak mahfudz
489,"Wkwk, kayaknya bakal kalah lagi nie..."
490,gmn ini banyak yg ga suka wkwk @ardiansyah_nasution
491,Bye prabowo
492,Parah . Ko bisa wakil nya dia . Kaya ngk ada yg lain aja 😂
493,Emang ga niat menang
494,Bagusss kereennn 🔥🔥
495,Ganjar mahfud ❤️
496,"Orang yg waras tentu tidak akan memilih Orang yg terlalu ambisius,tidak mengukur kemampuan."
497,Gk sabar nonton debat capres-cawapres ntar 🥰
498,Mungkin strategi untuk melemahkan kekuatan lawan
499,log out
500,Wkwkwkkw...😂😂😂 Logika Nya Sederhana.? Mengingat Usia Pak Prabowo Sudah Lanjut Usia Perlu Anak Anak Yg Mendamping Agar Tak Jatuh Terpeleset Dan Terkena Angin Duduk.. . 😂😂😂😂
501,AMIN 2024
502,Apakah untuk menegaskan pak presiden saat ini bukan badutnya partai penguasa?
503,Kok Tidak pernah belajar dari kesalahan to pak pro
504,Lhaaa...
505,Bran bran😂
506,Kakek ama Cucu 😂😂😂
507,ALL IN PRABU (PRABOWO-GIBRAN) 🔥🔥🔥siap siap ASN yang malas bakal dilengserkan
508,"Bener bener kacang lupa kulitnya ni anak, partai yg membesarkannya di khianati demi ambisi kekuasaan, semoga ganjar - mahfud terpilih sebagai presiden"
509,#Indonesia darurat politik
510,Tombol ora urus 👉
511,Akankah hatrick untuk Prabowo???
512,Mantaap pa.gamjar dan pa mahfud 2 putaranaja
513,Fix kalah 😂
514,Muke lugu....nepu nepu...nafsuan lg...tp didukung pula itu ame wiwi
515,"Semakin hancur negara ini,, dan akan berlanjut kesengsaraan rakyat nya"
516,Semakin hancur dan menderita rakyat
517,Semakin hancur dan menderita rakyat
518,Luar biasa
519,Prabowo pengin bgt jadi presiden sampae2 anak2 di jadiin umpan😇😇😇
520,AMIN terima kasih pak Jokowi
521,Bunuh diri knp tdk ambil dari tokoh NU
522,ANIES ANIES ANIES🔥
523,Spesialis tim horee lg ini mah cm nambah2 paslon ja.
524,.
525,Yg penting bukan ET 😂 terima kasih paman @prabowo 👏
526,deal deal cara jitu politik agar pak ganjar maxwin. zeus full senyum 👏
527,Demokrat ngapain pindah klw anaknya gk dipilih 😂😂😂
528,"Kalau sampai menang, sungguh tanda tanya dgn kejujuran pemilu indonesia.."
529,Projo Vs Pdip haha .. Mak Banteng Murka 🤭😀
530,Mikir lg ini mah 😭
531,"Anies Imin, Prabowo Gibran, Ganjar Mahfud ..."
532,Calon presiden usia maksimal 70  th 73 th boleh nyapres asalkan berpengalam nyapres 2 kali.
533,Nyungsep 😂😂
534,Wong gek GEMelooh dadi presideeen 😂😂😂😂😂😂😂😂😂😂😂😂😂
535,Q mau nyonya besar yg jadi calon presiden @puanmaharaniri
536,"Hmmmmm siapa sih ini ,"
537,"Tadi nya mikir akan ada harapan , yah 3 calon nya sama semua. Gak ada yang menarik jadinya ntah pengaruh dari capresnya atau pengaruh krn cawapres nya"
538,👏 cara u/ mengagalkan prabowo menjadi presiden dgn di sandingkan dgn ini😂 . Maaf pak saya belok dulu yaakl gak mau jatuh di lobang yg smaa cukup 10th kmren pak🤭🤣🤣
539,Mantaapp
540,Maksa bnget padahal mending gubenur Jkt dulu aja .
541,kalau begini kasihan prabowo..kalah lagi ni prabowo..
542,kalau begini kasihan prabowo..kalah lagi ni prabowo..
543,Hidup Prabowo Gibran!!
544,"Banyak yg muka dua ya disini, padahal ente pada pendukung sebelah 😂"
545,Pendukung anies adalah pembenci Jokowi dan PdIP... Putaran kedua ganjar vs probowo... Mereka linglung mau ke ganjar tapi PDip...mau ke prabowo tapi ada gibran .😂😂😂
546,"Bisa jadi, pak Prabowo nanti kalau jadi presiden karena sudah berumur dilengserkan oleh someone dan digantikan posisinya oleh Gibran. Seperti gusdur dulu misalnya. Who knows?"
547,Hehe buah saja kaly di oarbit gak enak rasa ny apa pagi pimpinan klu ada masalah malah lempar tg jwb persis bpk nya😂😂😂
548,"Bukan gk percaya anak muda berprestasi, gmn jalan karir tdk bagus kalo bapaknya atasannya....blm teruji sbg walikota yg bagus, kalo sdh 2 periode dan atasan bukan bapaknya itu baru teruji."
549,Inti nya itu 3 periode
550,"Keknya emang di setting sih biar suara pecah dan lari kesebelah, oh oke, jadi ternyata gini mainnya"
551,luar biasa THE QUEEN BULL. bisa menancapkan bendera pada 2 paslon😂
552,Berkat Paman Usman .. hahaga
553,Pembusukan telah di mulai
554,Blunderrrr
555,Hastag#politik maling kondang
556,"Gk usah ribut2...slow aje...kita gk tau apakah ad deal2 politik antara simerah dan si orange...memecah suara melawan anies...orange kalah putaran pertama,ujug2nya gabung koalisi dgn merah (walau mgkn gk semua partai pendukung nya ngikut) begitu jg sebalik nya...merah kalag,gabung ke orange...ataupun dua2 nya kalah si biru menang,mereka berdua bersatu menjadi oposisi dan menguasai parlemen...lets see aja"
557,Namanya juga Indonesia gak kaget... Politik ada dinastinya apalagi Dunia kerjanya...
558,"Mantap,. Smoga 2024 banteng ngk menjabat lagi"
559,yg bilang blunder lah dinasty lah biasanya emg pendukung sebelah 😂
560,Sudah kami duga paaak..
561,Yg menolak pilihan cawapres Prabowo di sosial media puluhan ribu mereka lupa Indonesia di huni jutaan jiwa yg nanti semuanya akan nyoblos di pemilu😂😂😂😂
562,"Ambisius, dipaksakan,kejam,"
563,🔥🔥
564,"Disaat paranormal para narator pada sibuk dengan terawangannya, genZ hadir membungkam semuanya, anak muda genZ emang bukan kaleng-kaleng.."
565,Ganjar - Mahfud 🔥
566,GP-MD the best 🇮🇩
567,"hilang sudah pendukungmu pak prabowo,kecewaaa banget"
568,Strategi di buat kalah
569,"Duit 1000 triliun menunggu, hahahahaaa......, guys jika suara biisa dibeli dgn harga 50rb, maka di Indonesia ini ada 843.261 TPS, klo 1 TPS 10 juta maka butuh anggaran 8,4 triliun lebih,  itu paling minim, utk gerakkan buzzer, kondisikan perangkat penyelenggara, dan eksekusi  butuh ya sekitar 30-35 tiliun, naha utang negara sdh mencapai 7000 triliun lebih (pasti ada peronnya), nah sapa yg punya kemampuan itu ? Monggo di simpulkan,  belum berhitung bersatunya oligarkhi penguasa dan oligarkhi pengusaha, bisa dibayangkan kan ? Belum ada campur tangan negara2 penjajah ekonomi yg ikut bermain, jadi utk menang harus curang itu sah bagi mereka poli tikus, utk menguasai negara, jadi saya sarankan lindungi suara anda, jangan biarkan tikus2 elit menguasai negri ini, lindungi suara anda, selamatkan anak cucu anda  dalam memilih, krn pilihan anda menentukan masa depan bangsa ini, pilihlah pemimpin yang baik dan mempunyai gagasan visi dan misi yg kuat ke depan, saya ndak perlu sebut paslonnya anda pasti paham"
570,"Mudah2an jadi tanda kehancuran, aamiin"
571,"Berarti jadi dong tahun 2024 ada pemilu presiden.. **""""++%¥#"
572,SETIDAKNYA TAUN DEPAN BUKAN PDIP LAH YG MIMPIN
573,Ok lah. Kalo punya gerbang yaa mudah saja..yang penting .pesan kami..jadilah pemuda harapan bangsa bijak dan berjalan sesuai porsinya..soal berhasil atau tidak jadi wapres...jangan memaksakan .seperti kejadian yang sudah sudah...berniatlah demi negara bukan demi keluarga atau ego semata..
574,Siap2 debat capres planga plongo...karbitan dan instan
575,"Awali Bismillah agar Alhamdulillah Prabowo Gibran Menang Menang Menang Aamiin Aamiin Ya Rahmatan Lil Aalamiin Ya Allah ,Qobiltu Ya Allah"
576,Masih kurang di Indonesia orang pinter selain Gibran
577,Bissmilah nda jadi pilih 😢😢😢
578,"Inilah politik. Walaupun bisa saja ini adalah strategi. Kita tdk tau  ide2 yg ada, walaupun kelihatannya Gibran mengecewakan PDIP tp dgn bergabungnya Gibran dan PS,  bisa saja elektabilitas PS dan Gibran turun, dan pengaruhnya pendukung PS bingung nanti pilih siapa, dan jika akhirnya pun dr 3 pasangan ini yg menang PS - Gibran dan GP - Mahfud, mungkin mau tak mau pendukung capres Amin akan kebingungan milih yg mana, disatu sisi mereka sdh jelas anti ke GP - Mahfud , dilain sisi ada pasangan PS - Gibran yg notabene anak Pak Jokowi, dan kita tahu kaum pendukung Amin sangat anti dgn Jokowi dan keluarganya. So, bisa jadi GP - Mahfud yg menang dan impian Pakde utk ada orang yg pantas meneruskan apa yg sdh dibangunnya selama 10 thn ini."
579,Semakin semangat untuk mendukung Prabowo - Ganjar
580,😢
581,Pemilu 2024 ini yg paling tdk ber etika
582,Org tidak tau diri dan tidak tau malu keluarga nya menjijikan dan memalukannn jokowi mundur saja dari presiden supaya pemilu jurdil
583,Jan Ethes jadi menteri 🤣
584,Gk ada yg wakilin umat islam
585,Maaf pemilih sudah gak bisa dikibuli
586,"@ahy.id @pdemokrat , YAKIN NIH SBY BAKAL TURUN GUNUNG DEMI GIBRAN?! MEMALUKAN SEKALI, KAMPANYE BT BOCIL ..."
587,"Mending milih yg lain,,drpd yg inii"
588,Cawapres jalur Gift Away dari Paman
589,"Saya rasa ini blunder buat pak prabowo, sbg rakyat biasa saya melihat di tunjuknya gibran sbg pendamping beliau malah akan menurunkan elektabilitas pak prabowo sendiri, ditambah dengan beberapa hari kebelakang mulusnya jalan mas gibran sbg calon wakil presiden tak lepas dari putusan MK yg lucu menurut saya, jgn sampai konstitusi drubah demi melancarkan jalan anak, sanak, keluarga dlm mengisi takhta kepemimpinan. Sbg pemilih kita mesti cerdas"
590,Terima kasih Paman
591,Kampret
592,Waduh..kok bisa?kan beda partai pengusungnya?nasib jurkamnas tugas dari partai gimana??? tambah bingung ja ni negeri
593,"10 tahun membangun nama baik, rusak seketika 😢😢😢"
594,Loh kok loh kok ???? Bapak yg udah buat surat itu gimana yah @wanichwan_ 😂😂 kok gini sih ? Udah bener sama yg kemarin gaksiih 😂😂
595,Yo wes ikuti alurnya gimana kedepannya. Mau lihat drama politik tahun ini sampai tahun depan gimana ceritanya
596,Gak jadi pilih bowo
597,Ngga usah di pilih
598,"BUDAYA BERBOHONG, NABRAK ATURAN, PENCITRAAN, DAN POLITIK OLIGARKI DIWARISKAN KE BONEKA OWI INI 😂"
599,daripada milih boneka ya mending milih orang. Tapi yang jelas pada main aman
600,Fix pindah ke lain hati....
601,kalau aja prabowo x mahfud. udah selese tuh yang lain.
602,MISI BALAS BUDI ALA PRABOWO.. 😂😂
603,Mau siapapun wakilnya tetap all in prabowo
604,Apa untungnya buat gibran? yg untung cm prabowo
605,woww 🔥🔥🔥
606,Kira2 apa yg ada dlm pikiran Sby yaaaakk???😂
607,Makin bisa ni pak anis 😍
608,Dahlah kalah lah pak Prabowo lagi ni...pak pak terlalu dini milih seorang gobarn hanya untuk mencapai dan menarik hati pak Jokowi....
609,Blunder
610,Entah siapa yang salah ku tak tahu 😂
611,Blunder nihh
612,Kenal
613,"Hal jelek yang dilakukan anak, orang tua disalahkan. Hal baik yang dilakukan anak, anak mendapat pujian"
614,"Mas Gibran akar 9,kalau Pak Prabowo mau menang, memilih mas Gibran adalah pilihan yg tepat.Seharusnya😢"
615,Hidup Prawan... Prabowo Gibran
616,"Dukung Ae wes, anak muda ben Sat set !"
617,Kayaknya ada maksud lain . Kita liat aja nanti
618,Sepertinya ada pemikiran
619,Terima kasih Uncle Anwar Usman🙏
620,"Terlalu terburu-buru,.... Sayang sekali... Jd ga respek kalo kayak gini mainnya. Coba kalo gibran berani menolak, pasti banyak yg respek dan pada pemilu berikutnya rakyat ga bakal ragu kalo milih dia... Tapi yah rupanya sudah kadung kebelet juga dan gila jabatan... , Maaf kalo jd ga respek lagi sama keluarga pak Jokowi.."
621,Baru meletek udh jadi RI 2 mimpi atau enggak sih 😂😂😂
622,Politik
623,Ini mah namanya sama aja penyerahan kekuasan ke anaknya
624,Selamat buat mas @gibran_rakabuming ..nek wani ojo wedi2..nek wedi ojo wani2 ..pilpres 2024 akan tambah seru ..salam perdamaian buat rakyat Indonesia
625,Panggung lawak
626,"Semakin ketara prabowo kemakan narasi netizen kalo dia tua, jd cari cawapres yg muda :D"
627,golput golput golput  bubar bubar
628,Ngeri ngeri... gangsta paradise coolio
629,Pilih pemimpin negara yang sudah jelas track record nya !!! Ingatttt track record  Jangan salah pilih Indonesia bakalan mundur kebelakang !!!!!
630,Kayaknya ada yg nangis bombay malam ini 🤦🏼‍♂️🤦🏼‍♂️🤦🏼‍♂️
631,Bener2 BLUNDER SI BAPAKKKKK
632,Demokrasi ? emang masih ada kalau cawapres aja hasil konkalikung elit parpol dan pemimpin negara
633,Tamat riwayatmu pak de kecewa brat saya
634,Blunder 🙃
635,Alhamdulillah menyelamatkan Bang erik dan sepak bola indonesia...InsyAllah blunder dan  gamjar jadi diatas angin..terima kasih Prabowo.mak banteng pancen joss merelakan gibran jadi cawapres prabowo...😂😂😂😂
636,jossss🔥
637,Wow... 😂
638,"Mari kita nantikan saat debat capres cawapres nanti Gibran melawan Mahfud MD dan Muhaimin Iskandar, bisakah bocah kemarin petang itu menandingi pengetahuan dan pengalaman kedua kandidat lainnya."
639,🔥🔥
640,Good bye PRABOWO.
641,Owalah .. Jng bilang kok bisa ya... Semua bisa asal ada kemauan... Kemauan dari paman tentunya.. Paman usman..
642,Yang hebat paman nya
643,mohon maaf sy merasa gibran msh terlalu muda dari segi usia dan pengalaman politik apalg utk  jd wakil memimpin negara 🙏🙏🙏🙏
644,Boruto dan sasuke..
645,"Bye, elektabilitas kalian jeblok sdh"
646,Pemikiran tidak baik dari pendukung Gibran  bahasa wong kampung wis gelem Bae p Wowo wis towir nek pe gagal dijalan wakil kan naik jadi pte
647,"Terlalu dini, baru walikota dan belum selesai masa jabatan.. sayang sekali 😢"
648,Engkau larut dalam kekuasaan TIRANI
649,Horeeee jeblog
650,Uwooww.. Diluar dugaan
651,Tenang semua sudah bisa di atur sama paman
652,"Ngetes survei ini.  Setelah turun, baru tanggal 25 bareng Yusril. Harapannya gitu. Wkwkwk"
653,produk gila kuasa banget si bocil
654,Terima kasih paman
655,Alhamdulillah...❤️
656,😂😂
657,"Nama besar pak Jokowi benar2 di pertaruhkan saat ini,antara blunder dan strategi politik,terlepas dr itu semua ini adalah kesan yg buruk di akhir periode,negarawan sejati tak sepantasnya memberi previlege pada anaknya dg jalur pintas,sedikit kecewa sih"
658,
659,Rakus
660,Maaf pak prabowo sepertinya yang kali ini gagal lagi
661,Kwakwakwkkkkkk..... makin kesini makin tak berguna SDM SDM yg benar2 sbnrnya berkompeten dibidangnya. 😂😂😂😂😂😂
662,"“Yang muda yang berkarya, karena bapak aku berkuasa”

Hidup MK!!!!🔥🔥🔥"
663,👍🏻🥰🇮🇩GaMa-Ri1-Ri2>8🇮🇩🥰👍🏻
664,Entah kenapa saya berfikir bhw ini manuver politik saja agar pendukung Jokowi kecewa dan pindah jd dukung Ganjar. Politik itu kita ga tau dibaliknya ada negosiasi apa saja. Wallahu alam semoga 2024 mendapatkan pemimpin yg benar2 amanah. Aamiin YRA. 😇
665,"Blunder di detik2 akhir, kalah tekanan Dari para  ketum pendukung"
666,
667,Naruto bener² bakal jadi Hokage 😂
668,😑
669,Kalo dah positif gib
670,"Ganjar Mafud cukup 1x pemilu, langsung jadi, @jokowi anda kurang puas dgn service bu Mega nampaknya 😂😂. 9thn di puja puji hanya semalam nama president memburuk di mata rakyat. #politikdynasti"
671,Mahfud MD - Gibran - Muhaimin. Bayangin besok waktu debat yg ngelucu siapa ya😁
672,Memalukaaaannnn
673,"Bye 👋👋
Skrg kami sudah ptuskan siapa yg harus dipilih tahun depan.."
674,Bye bye pak Prabowo
675,"Syukur dach, Biar AMIN menang satu putaran"
676,Uwwaw kaget
677,Teji inyong
678,Smpe uu di ubah sesecepat kilat👏😂
679,Gubrag
680,Sy blom yakin kalo blom gibran setuju..
681,Kucing kurus mandi dipapan ini😂
682,"Fokus menangkan Ganjar - Mahmud (Mahfud) 1 putaran, lupakan JKW, lupakan GB"
683,"SEMOGA INI BUKAN AWAL DARI KRISIS MONETER DAN KESEMPATAN MENCARI HARTA HARAM. YG MEMBUAT RAKYAT BLUNDER DENGAN SANDANG PANGAN YG PERNAH DI PIMPIN PAK JOKOWI. INGAT HARKAT MARTABAT RAKYAT DI ATAS SEGALANYA, JANGAN UTAMAKAN INVESTOR CINA YG MENDAPAT KE UNTUNGAN BESAR DI BANDING HARGA PANGAN RAKYAT YG GAK MASUK AKAL."
684,Kalah ke 4 kalinya
685,Akan ada putaran kedua
686,Walikota Aja Belum 1 Periode Ngotot amat jadi Cawapres😂 Sampai2 rela keluar dari PDIP Krn nggak di usung Bu Mega 😂😂
687,"Gapapa, artinya Ganjar-Mahfud menang satu putaran, yeess...!"
