,0
64,"Bakal ada masuk rekor muri 3x Nyapres hasil nya zonk
insyaAllah AMIN 👏"
65,Makin mantap pilih Ganjar-Mahfud
66,Gak ngaruh tetap konsisten di❤Ganjar-Mahfud RI1🇲🇨 2024.
67,"semakin yakin dengan GP. Menang total, satu putaran!🔥🔥"
68,Semakin yakin pilih ganjar
69,Lulusnya ngalahin anak MT atau MDP.
70,Woo woo peng 3 kok panggah goblok.. @alifi_kris
71,"Keknya Koalisi Indonesia Maju para petingginya pada kena kasus yg kasusnya masih di hold sama Pak Jokowi, makannya kalo ga mau ambil Gibran, bakalan di UP semua kasusnya 😂😂😂"
72,Otw kalah 3x 😂
73,"Syukur dach, Biar AMIN menang satu putaran"
74,Min.. posting-an yang akurat dong... Ini baru bakal calon wapres Prabowo apa sudah resmi? Judul sama isi ga sama..
75,singkatannya apa sob?
76,"Aku anggap ini koalisi pak Jokowi dan pak Prabowo, sesuai keinginan kalian dulu mereka berkolaborasi jadi capres-cawapres kan, nah ya ini tapi lewat tangan mas gibran 😁"
77,GAMA ..winner
78,"Sip bowo, hatrick.... Andai nya kau pilih yusril atau ahy"
79,Prabowo-Gibran Menang
80,"Siapapun capres cawapres baru, ga bakalan ada pengaruhnya sama kerjaan gw apalagi karir.. bodo amat lah 😂"
81,@roliesroberta  tanggapannya gmna kawan
82,BLUNDER
83,"Mas gibran ada lowongan jadi buzzzerp gak, kalo ada kualifikasinya apa, dulu si @permadiaktivis2 kan bully pak prabowo habis habisan eh sekarang mendukung pak prabowo, kalo boleh tau gaji berapa dan apa aja fasilitasnya, asal kebal hukum pak ☺️ kaya permadi"
84,"yaaelah gw kira prabowo bagus, trnyata ujung2 nya ama gibran juga.. mending golput aja lah"
85,Salah besar prabowo milih gibran... Pasti banyak orang yg gak jadi milih pak prabowo...
86,Dinasti planga plongo
87,Sengaja untuk kalah
88,Kalah lagiii.... Kirain sama erick
89,Cak Imin Tertawa Lebar Melihat ini...
90,"10 tahun membangun nama baik, rusak seketika 😢😢😢"
91,Apa untungnya buat gibran? yg untung cm prabowo
92,#prabowopresiden
93,Ga sia sia jodohin adek sma ketua MK 😂
94,"Bowo tidak percaya dirinya sendiri, atas jiwa kepemimpinan nya.  Rakyat Cerdas Tidak Akan Pilih Pimpinan yang tidak PD"
95,Setuju.. Asala jangan kelompok pengkhianat..
96,Saya mendukung calon yg tdk memihak teroris saja 👍
97,Bnr2 licik..takutny nanti klau anis menang pilpres...d gugat k MK.krn yg gugat ada ponakanny..bisa2 gugatanny d kabulkn
98,kita frien kan @kokom_band
99,Blunder
100,Prabowo Gibran 🔥🔥
101,bt banget bentuk muka makin cabi aja sampe bawah abis lahiran😭.. ada yang tau sya harus apa🥺
102,"Yang hujat gibran kurang pengalaman,.. LU PERNAH LIAT WAKIL WALIKOTA PECAT PNS??? ada yang berani?"
103,siap siap kalah👏😍 Alhamdulillah
104,Padahal kalau sama pak ridwan kamil udh pasti menang
105,Alhamdulillah.. Tombol anis muhaimin guys..
106,"Waduh ternyata ramai viRal putusan MAKAMAH KELUARGA DI KONOHA  ternyata endingnya seperti ini , sory SKIP PRABOWO ,SKIP DARI BANTENG ,  pilihan terakhir di ANIES (AMIN) OKE Coblas sekeluarga 🔥🙌🙌🙌🔥🔥🔥🔥🙌🙌🙌🙌🙌🔥🔥🔥"
107,Dan kalah. 😂
108,Lawan Prabowo diuntungkan .. 👏👏
109,Boleh minta sedikit bantuannya nggak bang buat beli beras🙏🙏🙏
110,"blunder om wowo, knp gk erick atau mahfud sih waktu itu, aduuhh kalah lg ajh ini mah"
111,Blunder lagiiii pakkk bowo
112,Kalah maning kalah maning son
113,Wahhhhh....alamat kalah nihhhhh
114,Erick Thohir lebih baik
115,the mean of privilege...
116,"Mantaapp di Putaran ke 2, pendukung Anies bakal bingung mau dukung Klan Jokowi atau Partai Banteng 😂😂."
117,"Semakin ketara prabowo kemakan narasi netizen kalo dia tua, jd cari cawapres yg muda :D"
118,Apa gak takut durhaka sama nenek? Padahal keluarga kalian dibesarkan oleh pdi. 🗿🗿🗿🗿🗿🗿🗿
119,"Wellleehh… gk kapok😂
Gk mau milih yess maaapppp!"
120,"Kapal PERUBAHAN sudah terkembang, siapa mau ikut silahkan naik. Kita wujudkan bumi pertiwi yg lebih adil. AMIN❤"
121,Pilihan yg tepat sekali #prabowopresiden
122,😂😂😂😂😂
123,@agus_umam  piye iki😂
124,Selamat mas Gibran. 👏
125,@kharisma.balqistn riilll cuyyy🔥
126,HORE ANAK MUDAAAAAA.... JAWA PECAH SUARA😂😂😂😂....
127,Jangan panggil aku anak kecil paman 😂
128,"Di tanya gak ..gak..gak.., tapi mau , Bocil mencla mencle gini kok ikut pilpres , eh..bapak nya masih aktif Presiden , apa kata dunia 😀😀🤭🤭"
129,😂😂😂😂😂😂😂😂
130,"Ga tau malu sih gibran ini. Sama Mk di obok obok hanya demi dia. Dan ayahanda @jokowi yaa biarkan aja dan sembunyi tangan. Btw blunder buat pak @prabowo sih, karena hasil survey dia jauh lbh unggul kalo gandeng @erickthohir"
131,definisi menurunkan harg* dir*
132,Kalo kita anak presiden bakal gitu juga ngga ya?
133,Lolto....
134,Politik dinasty mulai tumbuh kembali😂
135,Dinasti ya pak
136,Pie ki mas @ghandhend
137,Wahh dipimpin pdip lagi ini mah 😢
138,Indonesia Resmi Berduka
139,@semiputrijhies
140,@gibran_rakabuming mengecewakan!
141,@larasati3384
142,Terserah yg penting pak Eric masih di pssi😍👏
143,"Yang komentar menebak Prabowo-Gibran kalah, semoga kalian sudah menentukan pilihannya"
144,"Waduh masa pak mahfud head to head sm gibran, gasabar pas debat bakalan caur si 🫣"
145,#TolakPolitikDinasti
146,Mahkamah Keluarga itu nyata. Rezim merubah konstitusi demi kepentingan pribadi dan golongannya sendiri. Rakyat disengsarakan terus.
147,"Siapa lawan siapa lawan, kabur dan samar2. Kontrak dan serang tidak terlihat tapi sebenarnya sedang saling kontra dan menyerang. Warga sulit memahami dan mencerna. Tak ada lagi poros SARA/Kampret/cebong. Politik Indonesia 2024 benar2 beda, tingkat tinggi dan jenius."
148,"Info di seblah,pengumuman ya hr senen,ko kompas udh tau,apa punya kenalan orang dalem ?? 🙌🔥"
149,Bagus. Harapan kalah lagi. Probowo...
150,@ave_chr 🌩️
151,meng kecewea
152,Nungguin respo PDIP
153,@frank_hatu
154,hadeh.
155,@faraul_ yasalam par baku baku stel sda
156,Andai bapak gua jadi presiden.
157,Aman
158,"Langsung dilantik aja besok pak, daripada habis2in dana buat pemilu. Nanti kalo kalah dirubah lagi peraturannya sama pakdemu"
159,"Miris, makin menurun Pak, padahal saya fans berat Krn wakilnya"
160,"Koalisi mereka ga sadar, simerah lg pake taktik banteng troya buat acak2 mereka dr dalam"
161,"Enak ya jd anak presiden & keponakan ketua MK & kakak ketum psi & adik ipar walikota, selamat Mas Gibran 🙏🏼😇 semoga amanah & sayang sama semua rakyat"
162,Ramalan @_dennydarko_  menuju mendekati bener lagi
163,"Ya Allah maksa banget...kalo memang bener² berkompeten sih gpp, lah ini...??!!"
164,"anjerrr nekad maju ni bocah, emg dasar kacang lupa kulit 😂"
165,Hilang respect...sorry🙏
166,Bocil karbitan mau cobak² ngurus NKRI..🤦
167,Kutu loncat
168,Hahahahaha Ancoorrrrr reputasi lu wo wo....Umur aja tua ... Blo'on
169,Udh mls dan capek dgn pemerintahan dinasty.
170,"Yahh tadi nya mau pilih Prabowo jadi ngga jadi, lihat cawapresnya begini,kalo debat di TV  nanti antara cawapres bisa dibantai nih sama Mahpud.MD"
171,"Baru 2 tahun menjabat di solo dan tergolong baru, sudah loncat jadi wapres, SKIP klo gini pilih prabowo, siap2 kalah pak untuk yang ke-4 kalinya"
172,Blunder
173,Hobiny Jdi capres
174,"Gampang ketebak, kaya jalan cerita sinetron 😂...."
175,wowo masuk jebakan batman joko..
176,Gas..... Prabowo Gibran
177,Blunder lagi
