index,comments
84,"Pemimpin yang selalu berdiri tegak di hadapan tantangan, siap menghadapinya. 💪 #HadapiTantangan"
85,All in
86,Prabowo adalah sosok yang penuh integritas.
87,Prabowo adalah tokoh yang selalu mendukung kemajuan pendidikan.
88,Prabowo adalah prajurit yang tak kenal lelah.
89,Dari timur untuk prabowo
90,Indonesia raya butuh Prabowo
91,Pak ganjar gak hadir jadi sudah paham ternyata pak ganjar gak terlalu dekat sama TNI dia dekat sama universitas saja apalagi masalah alusista Tni pak ganjar gak bisa nangani hanya pak prabowo lah yg bisa prabowo Goat nya yg mirip lionel messi pak ganjar mirip C. Ronaldo😂
92,Medan hadir. Horaass!!
93,🤙🤙
94,All in Prabowo Subianto 2024 🔥
95,Bapak Prabowo gokil
96,Prabowo the next Presiden🔥
97,DIRGAHAYU TNI YG KE 78. Maju terus JENDERAL
98,Foto yang sangat bagus! 😍
99,@prabowo presidenkuuuu 🔥🔥🔥
100,Prabowo Presiden 2024 🔥🔥
101,Bersama untuk indonesia Maju❤️
102,All in Prabowo🔥🙌
103,Presiden Jokowi bersama Presiden Prabowo🔥🇮🇩
104,❤️❤️
105,😍😍😍😍😍
106,Mantap pisan
107,Prabowo adalah panutan dalam membangun pertahanan negara. 🛡️ #PertahananNegara
108,Pak @prabowo presiden RI 2024 🇲🇨🤲
109,Prabowo ber etika dan Prabowo Presiden🇮🇩🔥💪🏻
110,Prabowo adalah prajurit yang siap menghadapi ancaman.
111,ALL IN PRABOWOOOO
112,pak tadi say nnton bapak di tv... lagi makan saya keselek pak.. liat bapak senyum ganteng bangettt😭😭😭
113,Orang dengan intelijen yang jelek dan lemah
114,Semangat dan dedikasi Prabowo patut diacungi jempol.
115,Slide 1: Pak Jokowi bersama Presiden Indonesia 2024 Prabowo Subianto🔥
116,Beribawa sekali pak ❤️❤️
117,Pak kpn nih Indonesia nambah rudal lgi biar makin sangar TNI kita
118,🔥🔥🔥🔥
119,"Selamat Memperingati HUT TNI KE 78 Bapak Capres @prabowo  Semoga Semakin Baik Utk TNI 🇲🇨, Jayalah Selalu Di Darat, Laut, Dan Di Udara, Salam Komando 🙏 🫡 , MERDEKAAA 🇮🇩"
120,Selamat kepada TNI semoga semakin terdepan menjaga keutuhan dan pertahanan NKRI.🔥🔥
121,Kepemimpinan Prabowo adalah kekuatan utama bagi Indonesia maju. 🚀 #IndonesiaYangMaju
122,Pak Prabowo sehat selalu jenderal 🔥
123,Selamat hari TNI 🔥pak Prabowo selalu di hati ❤️
124,Salam hormat untuk semuanya siapa orangnya Bapakku Prabowo Subianto Presiden Nya.
125,"Pemimpin yang selalu berdiri tegak di hadapan tantangan, siap menghadapinya. 💪 #HadapiTantangan"
126,Ia adalah pemimpin yang peduli pada kepentingan rakyat.
127,Prabowo adalah pemimpin yang tidak pernah ragu untuk melindungi kehormatan bangsa. 🇮🇩 #MelindungiKehormatanBangsaYangKuat
128,Kemampuan Prabowo dalam memimpin negara sangat luar biasa. 🙌 #KemampuanPemimpin
129,Keren👍👍👍
130,mantap pak prabowo sukses terus🇲🇨
131,presiden gua 👏🏼
132,#prabowopresiden
133,#prabowopresiden
134,#prabowopresiden
135,#prabowopresiden
136,#prabowopresiden
137,#prabowopresiden
138,#prabowopresiden
139,Insyallah 2024 - RI 1 🧡🧡
140,❤️❤️❤️❤️❤️❤️
141,Pak udah ngopi?
142,"2x saya pilih pak jokowi , dan pilpress kali ini saya akan pilih bapak @prabowo"
143,wow keren😍
144,PAK PRABOWO SUBIANTO DJOJOHADIKUSUMO DIHATI MASYARAKAT YANG INGIN NKRI BERDIRI DI KAKI NYA SENDIRI ❤️❤️
145,Unggah ungguh e sopan dan baik. 👏
146,"Pak @jokowi dan @prabowo kok harga2 naik semua ini 😥 setelah beras, dan bensin kok harga gula juga naik. Padahal jaman belanda dulu Indonesia itu eksportir gula nomor satu di dunia. 😢 @aniesbaswedan  Punya solusi apa spy harga2 stabil dan kalau bisa menurun, kl petani sih kasih subsidi terus aja spy tetap sejahtera, terutama subsidi pupuk itu a must, yg epnting harga sembako stabil dan terus menurun."
147,Pak sby
148,Dirgahayu TNI RI. TNI makin kuat dan Indonesia disegani dunia. Terimakasih Pak @prabowo.
149,pak prabowo siap menjadi RI 1
150,Dirgahayu TNI ke 78
151,Garda terdepan nkri. Selamat ulang tahun tni
152,"Program bapak ngasih PMT ke sekolah mengingatkan saya pada waktu SD, jaman pak harto setiap hari dikasih susu kotak sama roti. Ada lagi kelas 2 semua dikasih alat tulis, tas sekolah, sepatu, seragam. Indahnya waktu itu."
153,Insya Allah Indonesia tambah kuat kalau di pimpin oleh pak @prabowo
154,Bismillah😇 pak prabowo Ri 1 2024 Aminn
155,Semangat dan inspirasi untuk seluruh anggota TNI
156,Kami mendukung upaya bapak dalam memperkuat TNI
157,Semoga semua upaya Anda membawa perubahan positif bagi Indonesia
158,"TNI Patriot NKRI
Pengawal Demokrasi Untuk
INDONESIA MAJU"
159,"Selamat Ulang Tahun TNI, 2024 pak @prabowo presiden"
160,"Bismillah.. 
Pak Prabowo Presiden Indonesia 2024 - 2029 🇮🇩💯
Aamiinn.."
161,@prabowo presiden 🇮🇩
162,Lanjutkan program @jokowi bersama @prabowo
163,Gagah pak Menhan #Prabowo
164,Pak Owi dan pak owo besti poreper sosweet deh pak
165,"@prabowo @jokowi dua sahabat sejati yang di pisahkan sama emak😑. Inshallah Pak Jokowi membantu mendukung @prabowo jadi pemimpin bangsa di tahun depan aamiin , Yo ta gak mas bro @kaesangp @gibran_rakabuming"
166,#prabowopresiden2024 ♥️♥️♥️♥️ like --->>>
167,"Keren banget sih pak, sehat selalu ya pak😎"
168,🔥🔥🔥🔥🔥🔥 Owo gass
169,NEXT PRESIDEN 🔥
170,Anak muda all in prabowo🤝
171,2024 all in prabowo 🔥
172,"Bpk @jokowi pun tau,mana yg layak meneruskan beliau duduk di kursi kpresidenan yaitu Bpk @prabowo 🙌❤️"
173,#prabowopresiden #prabowountuksemua 😍
174,Selamat hari ulang tahun TNI.jayalah selalu
175,Bismillah Insyaallah Pak Prabowo 2024❤️🙌
176,udah pasrah gatau lagi gimana caranya ngecilin perut sama lengan ini ada saran kah🥺
177,"pak, tolong bacain DM dongg😢"
178,All In Prabowo🇮🇩
179,2024 all in pak prabowo🙌
180,#prabowopresiden
