,,Name,"Profile ID",Date,Likes,Comment,"Comment ID","Profile URL","Comment URL"
20,,jannah_siregar_,4342273853,"2023-10-31 15:44:20",0,"Jika bapak @aniesbaswedan jadi presiden, harapan kami buat bapak. mohon di sejahterakan guru guru swasta. Berikan bantuan rehab sekolah swasta pak. Dan bantuan kepada siswa kurang mampu. Sukses selalu....Amin...merdeka...",17974122461456072,https://www.instagram.com/jannah_siregar_/,https://www.instagram.com/p/CyhjkzZI1S5/c/17974122461456072
21,,hsnah_nrr,3564701368,"2023-10-31 15:49:16",0,"@erwinerliza_ yakin bisa!",18085961443378428,https://www.instagram.com/hsnah_nrr/,https://www.instagram.com/p/CyhjkzZI1S5/c/18085961443378428
22,,hanif_arkan95,4162324985,"2023-10-31 15:58:49",0,"Yang Terhormat Bapak Anis, Mohon sampaikan Gagasan Bapak atas Suport Indonesia bagi Perdamaian Palestina",17892126182927147,https://www.instagram.com/hanif_arkan95/,https://www.instagram.com/p/CyhjkzZI1S5/c/17892126182927147
23,,amara_hazika_putry,45668997345,"2023-10-31 16:10:08",0,"@surip_prayugo insaallah 1.donk",18005287775293008,https://www.instagram.com/amara_hazika_putry/,https://www.instagram.com/p/CyhjkzZI1S5/c/18005287775293008
24,,erwinerliza_,3285350952,"2023-10-31 16:35:27",0,"@habilwalid Kan belum jadi presiden, baru mu jadi presiden nanti 2024, liat aja pasti semuanya adil terhadap rakyat.",17982155378581164,https://www.instagram.com/erwinerliza_/,https://www.instagram.com/p/CyhjkzZI1S5/c/17982155378581164
25,,habibalhasan25,2233422321,"2023-10-31 18:14:36",0,"All in Prabowo 🙌",18000770453233771,https://www.instagram.com/habibalhasan25/,https://www.instagram.com/p/CyhjkzZI1S5/c/18000770453233771
26,,felipe_feuss,1382304487,"2023-10-31 18:19:02",0,Vasco,17977286615615581,https://www.instagram.com/felipe_feuss/,https://www.instagram.com/p/CyhjkzZI1S5/c/17977286615615581
27,,rafliii.11,12578550667,"2023-10-31 19:23:33",0,"Hehe  kita butuh tambah kemajuan yuan 😂",17916080789818811,https://www.instagram.com/rafliii.11/,https://www.instagram.com/p/CyhjkzZI1S5/c/17916080789818811
28,,dakileher24,45437606392,"2023-10-31 22:00:52",0,"SIAPA PUN CAPRES NYA ASAL BUKAN @aniesbaswedan  #ANIESNYUNGSEP",18020674906828910,https://www.instagram.com/dakileher24/,https://www.instagram.com/p/CyhjkzZI1S5/c/18020674906828910
29,,sipayabada,4044796580,"2023-11-01 01:56:42",0,"Pak kalau jd president 2024 nanti TLG buka lapangan pekerjaan yg luas n gak perlu harus pake  syarat fresh graduate dong,kasian yg dah mengngaggur sejak covid kemaren sampe sekarang blm juga dpt pekerjaan yg layak .",18042990616558045,https://www.instagram.com/sipayabada/,https://www.instagram.com/p/CyhjkzZI1S5/c/18042990616558045
30,,andif_246,52086713617,"2023-11-01 02:05:03",0,"All in prabowo gibran",18023885854760290,https://www.instagram.com/andif_246/,https://www.instagram.com/p/CyhjkzZI1S5/c/18023885854760290
31,,wardah4450,3180443513,"2023-11-01 02:30:14",0,"Anued.Baswedan info dari masyarakat jika Anies menang blt hilsng mohon di jelaskan",18054213868443047,https://www.instagram.com/wardah4450/,https://www.instagram.com/p/CyhjkzZI1S5/c/18054213868443047
32,,yzoe22,16155243501,"2023-11-01 02:48:13",0,"@yuliati.rahayu.10 up",18006337268299195,https://www.instagram.com/yzoe22/,https://www.instagram.com/p/CyhjkzZI1S5/c/18006337268299195
33,,nanisuaebah8,55452015872,"2023-11-01 02:48:20",0,"Asalamualaikum pak anis, oak anis galangdana anak saya di @benihbaik  tidak di salurkan semua ke anak saya sedangkan anak saya sangat membutuhkannya, seharusnya donasi itu di salurkan semua kepenerima ini mah tidak pak. Saya minta pertanggungjawaban dari mereka kalau terjadi apa-apa ke anak saya di karnakan doansi anak saya tidak di salurkan semua tapi mereka tidak mau",17998611596200386,https://www.instagram.com/nanisuaebah8/,https://www.instagram.com/p/CyhjkzZI1S5/c/17998611596200386
34,,andikagoxil,1822604451,"2023-11-01 03:07:19",0,"Anis-amin hanya untuk memecah suara untuk prabowo, sudah jelas anis amin pasti kala , sementara disini yg di untungkan adalah gnjar. Jika anis -amin tidak ada maka prabowo gibran di atas angin. Ini la strategi pdip membuat anis dan amin......",18058452709476549,https://www.instagram.com/andikagoxil/,https://www.instagram.com/p/CyhjkzZI1S5/c/18058452709476549
