,comments
288,"Apaan, ngutip kok “ngga apa-apa” doang sih min. Ngutip tuh yg cakep gitu loh, yg omongannya ada maknanya dalam, atau yg agak panjangan lah 😂"
289,Beginilah bila anak muda yg dipaksa matang
290,PDIP aja di khianati apa lagi rakyat... Gibran : Gak Apa apa ko tanya ke saya 😂
291,Tadinya mau pilih prabowo tapi gak jadi deh
292,"Kalau ga menang bagiamana keluarga ini, klo yg menang Anis mgk masih ga begitu, klo yg menang Ganjar apa ga lbh runyam"
293,"Pas debat dengan pak mahfudz md, jurus andalan mas gibran adalah= biarkan rakyat yg menilai 😂😂😂😂😂😂😂😂😂😂😂"
294,"Saya bingung,coblos smua ajh dh."
295,Banteng  aja di khianati  Apalagi  Rakyat ••• ??!😂😂😂👏👏👏
296,"Bingung mau coblos siapa atuh, ke-3nya gk masuk dlm hati semua.... Sbnrnya mau pilih pk prabowo tp ah yasudahlah..."
297,"O pancen type yg gak tau Terimakasih …..
Dan jgn2 “gen” nya mmg pengkhianat…… Smg dibatalkan oleh Allah…"
298,"Sorry, gk dulu"
299,Politik emang gitu sih
300,Drama. . Ya masih satu gerbong😂
301,"itu sebuah balasan buat si nenek tua mega yg sdah ngata2in jokowi kmren, dan ini balasannya,"
302,NEPOTISME 😁🙏🙏
303,INGSUN TITIP TAJUG LAN FAKIR MISKIN
304,Enteng banget ya ngomongnya 😂
305,Anak sama bapak sama aja
306,"Masi nyalon aja udh berkhianat,gmn kalo udah jadii🤭🤭"
307,Belimbing sayur
308,Andaikan mulut org2 ada filternya
309,innalillahi wa inna ilaihi rojiun ....
310,Preketekkkkk
311,Demi sang putra mahkota.. dasar kutu loncat
312,"Seperti AHY dulu, Gibran belum waktunya"
313,Ketika BAPAKnya di Malu2in didepan Ribuan Kader PDIP....disitulah Anak2nya gak Terima dan Membalas👏
314,Bukan masalah mengkhianati partai tpi  masalah yang ada MK yg jadi bnyk orang gak suka mas😂
315,Di PDIP beliau berhianat tidak tutup kemungkinan di Gerindra juga bisa berkianat kita liat aja apapun itu mrka lakukan smg presiden terpilih terbaik untuk seluruh rakyat indonesia aamiin
316,"Jadi nya menghalalkan segala cara, gimana ngurus negara nga bahaya tah.. 😂"
317,Jgn sampai terulang.. Dinasti keluarga.. Manis tapi pahit buat rakyat
318,Jangan macem² ya ... bpk ku presiden pamanku ketua MK.... awas kamu...!!!
319,"Mas mas... mbok ya di pikir dulu jgn memaksakan kehendak orang tua, semua ada waktunya 😊"
320,"Mereka sekolam,, koalisi cebong sengaja memasang 2 kaki,,biar aman perusahaan keluarga nya,, politik itu begitu kejam segala cara di halal kn,"
321,Muka penuh ambisi kekuasaan😂😂
322,Ambisius bgt si deck
323,"Drama nya si merah ini. Kayaknya bikin 2 kaki, jadi dibikin drama 🙄"
324,"@adzkarngaji yok ikut daftar, dk tanggung² semuanya dibawah umur gala"
325,"Drpd ntar dibilangin jg ""pak gibran tanpa pdi bukan apa2"" wkwkwk run gibran run !!!!"
326,Gk ngurusss blasss...
327,Sudah tdk sabar liat pasangan ini debat capress...😂😂 👏
328,"eman"" pak bowo, jd bikin batal milih"
329,Lg diatas awan 😂
330,Blom clear KPU belum rubah undang undangnya batas capres n wacapres batas usia 🇮🇩😂
331,"Partai nyasa ja di khianati ap lagi bangsa ini nnti, mentang2 bapaknya seorng presiden, semuanya serba instant, .. Pak bu. Tolg lah mash bnyk para jendral yg pantes jadi wapres, 😢😢😢"
332,"Gak jelas hasil kinerja di solo..malah di pilih jd wapres..kalau bpk nya gak berkuasa,cuma jadi pengusaha yg mengharpkan KUR"
333,Culas dan licik
334,👏
335,Udh kaya mie aja lu instan
336,Mengkhianati rakyat - coming soon 🙄
337,"Lebih baik mas gibran tinggalkan PDI-P partai pengkhianat rakyat, setuju kalo bisa tenggelamkan sekaliam🔥"
338,Intinya menang dan berkuasa 😂😂😂😂
339,Keren kan...demi jabatan dianggap jadi penghianat itu aku rapopo.... Ada jaminan tak berhianat ke rakyat?
340,"SEMANGAT PAK PRABOWO SUBIANTO ?  TENANG ,TENANG PAK PRABOWO SUBIANTO  RAKYAT ADA DI SINI ?"
341,"Biasa itu dlm negara demokrasi pindah parpol... MK di gugat masalah usia capres cawapres itu jg bagian demokrasi. Masalah hasilnya di ketok palu ketua MK, ya kita justru hrs hormati, Krn putusannya final. Terlepas dr hub Kel, kita gak bisa ber andai andai ya ..."
342,Kalo kader lain pasti udah dipecat
343,Serius nanya. Pak Prabowo kondisi kesehatannya oke? 🙄
344,#ogahdipimpinanakingusan
345,Setujuuu
346,Aniess yg terbaik
347,Kalau sudah clear mah orang gak bakal nanya bran bran..
348,Anak² presiden jokowi mulai mengeluarkan taringnya karna megawati sudah merendahkan presiden jokowi depan publik 🔥
349,Kirain ini strategi banteng
350,Udh tau kan mau pilih siapa 😂
351,"Gak apapa,biasa aja,gak tertarik politik,ada yg bisa nambahin lagi guys😂😂"
352,Semua gpp??gmn mau jd wkl kita..kl smua gpp
353,"Melihat mereka kok sedih ya...jadi bahan guyonan, jadi bahan lelucon, jadi kembanglambe yg menyesakkan...Gibran...Gibran...nasibmu sesuk Ki piye Nang ..."
354,pelajaran yang didapat untuk generasi muda : menghalalkan segala cara untuk mencapai tujuan
355,Benarkah hasilnya?
356,Ambisi jd cawapres dngn mengakali undang undang dan menghianati partai yg telah membesarkan namanya.. jika terpilih mungkin gak dia menghianati rakyat dan merubah undang undang lg..
357,Apapun sebutannya....aku tetap dan sangat  cinta pemilu
358,"Itu media sebelah udah bilang Gibran temui FX Rudy buat balikin KTA, kenapa ini ketinggalan?"
359,Hidupppp Prabowo Gibran.?
360,"Partai aja di KHIANATI bagaimana jika sudah diposisi atas, apakah RAKYAT juga akan di KHIANATI ? ngeri ah pilih PEMBELOT 🫣"
361,Gak respek
362,"Foto2 lucu gibran udah mulai betebaran, wkwkwkw, nanti bisa dibuat album, kayak bapaknya😂😂😂"
363,Bekh raja bok€p jan smpe jadi presiden
364,permainan
365,Jilat teruuus
366,Clear ?? Sampo kali ahh
367,Baru tumbuh jmbt😂
368,Bapak ❤️
369,PAIT PAHIT PAIT PAHIT
370,"NANTI KALO KALAH GIMANA ????? TENANG, ADA PAMAN SAYA DI MK, PASTI KITA AKAN MENANG !!!!!!!"
371,Jabatan dan kekuasaan akan hancur kl  dgn cara curang
372,Sandiwara nya Telah Terbaca
373,"Keren banget dia mantap, Semakin Yakin Prabowo 2024🔥🔥🔥"
374,"Orang yg sdh gila jabatan mmg biyasany begitu, gk pduli apa kta orang krn mrasa puny beking yg sgt kuat.."
375,😂
376,"Lagi Gacor Kakek dikasih JP 1jt depo 150rb , main di QQ289 Situs Gacor"
377,Ahok aja kuar dari gerindra pamit. Ini dipinang cawapres kok gak pamit ?Diterima baik2 keluar baik2 lah. Terima kasih paman
378,Mau nyapres kok ndagel..nanti kalau kalah gk boleh nangis lho..
379,"Kata"" Aja hemat, apalagi anggaran negara"
380,Emng sudah resmi keluar dari partai ?
381,https://youtu.be/B7XMAvNstUY?si=dfSVcYOBCuc5j6VP
382,"Ini kayaknya yg segitunya belain idolanya kerjanya enak2 kali ya makannya dijamin.. heran orang pada segitunya bela gue tetep bersama @bintangemon bingung mao pilih yang mana ""YANG DOSANYA masih bisa gue maafkan"" wkwkwkkwkw 😂"
383,"ngeri yah omongan netizen, pada kaya tau semua hal gitu😂"
384,"Memang benar enak banget hidupnya Mas Gibran,mau ini mau itu di turuti"
385,Ganjar mahfud
386,AMIN.. @anies.cakimin
387,Semoga jadi ya mas❤️
388,Dasar Kutu Loncat
389,Politik mah sudah biasa ...walau sedarah sekandung juga ribut tar baikan lagi 😂
390,Penghianat atau setingan kubu merah?
391,Dari dulu Saya berpandangan kepada Ganjar-mahfud hehe❤️🔥
392,"Yng blg gibran ini itu gak pernah liat ya betapa bapak nya sabar saat  di kucilkan oleh ketum partai nya sendiri pdhl posisi bapaknya presiden, jd gk bs salahin anak2 nya jg sih, mana ada anak yg gk sakit liat bapak nya dah ksh 100% untuk indonesia tp ada aja oknum2 yg merendahkan apalagi dr internal 😅😅"
393,perusak😂
394,🤮
395,Menurut ku yang awam..politik jika berjiwa kenegarawan Gibran harus mundur dari kursi wali kota Solo. Karena beliau menjadi wali kota dari kereta PDI P
396,🙌🔥
397,"Hidupnya enak yo,tak masalah tenang saya ada disini santsi aja ,hidupnya kurang menantang padahal sejatinya hidup itu penuh perjuangan ,gak SERU klo begini"
398,Kacang polong
399,"Semoga manuver politik "" gaya Surakarta "" yang pernah dilakukan pendiri kota tersebut , yaitu raja muda bergelar Susuhunan Paku Buwono II ( lahir 1711 - wafat 1749 ) , sehingga mengakibatkan penghancuran Keraton Kartasura th 1742 oleh pasukan keturunan Tionghoa - Jawa , Perang Perebutan Mahkota III ( 1746 - 1757 ) , Penyerahan kedaulatan Kerajaan Mataram Islam oleh PB II kepada VOC akibat hutang kerajaan kepada VOC yang sangat besar sudah tidak mampu dilunasi , tidak akan terjadi lagi dimasa depan ."
400,Kalo ingat kata penghiant ingat 65
401,Tunjukkan bahwa ucapan mbah uti Megawati  salah yg sudah menghina  pak Jokowi
402,Setia pdip❤️ gapol Ganjar mahfud🔥
403,"2 capres ..Mau Ganjar atau Prabowo dibawah 1 holding company @pdiperjuangan  dan @jokowi MEREKA NYAPRES KARNA KEPENTINGAN IKN, JADILAH PEMILIH YANG BIJAK"
404,Siapa ni yg thun in golput
405,"""Jadikanlah deritaku ini sebagai kesaksian, bahwa kekuasaan seorang presiden sekalipun ada batasnya. Karena kekuasaan yang langgeng hanyalah kekuasaan rakyat. Dan di atas segalanya adalah kekuasaan Tuhan Yang Maha Esa.""
#SoekarnoBapakBangsa"
406,Ganjar-Mahfud
407,Ya jelas gpp orang mau dapet jabatan enak😂
408,jgn di dengar berita yg lagi panas panas panas😂😂😂
409,"Belom jadi wapres aja udh berhianat dari Partai, gimana udah jadi wapres bisa dengan gampang berhianat sama rakyat, kebelet amat sama obsesimu tong😂"
410,wkwkwk ngapa harus gitu sih fotonya yg di capture dan jadi konten. Pak Gibran itu berwibawa loh. Kurang asem bgt.
411,P
412,2024 #antipdip
413,udah gakpapa doang? bisa jadi besok rakyat yang dihianatin sama dia
414,Sampon Clear 😂
415,Gibran muka kok Ploga plongo Kyok bapak e 😂
416,#AntiRezimLurah
417,Terlalu cepat...
418,"Penghianat PDIP : ""Nggak apa - apa""
Menghianati konstitusi : ""Nggak apa - apa jugaa"""
419,Contoh BELAJAR MEMIMPIN BANGSA dg CARA BERKHIANAT...🤭🤭
420,Ga malu apa ya
421,"Kami kaum awam,,,penghianat itu yg bagaimana,,,tolong dijelaskan👏"
422,"yah belajar dulu lah ya, siap2 aja dulu, besok kan siapa tau jadi pengkhianat rakyat juga wkwkwkwk"
423,Tengil yah😂
424,"PDIP nolak permintaan 3 periode ayahnya, tp diteruskan sm anaknya. emg bener mau perpanjangan kekuasaan jalur baru, jalur dinasti"
425,"Ntar mengkhianati rakyat, gak apa2 juga ye 😢"
426,Udah jelas arahnya mau kekuasaan penuh
427,Klo sdah Clear berarti Jokowi 2 Kaki.
428,"Kesempatan tidak datang 2 kali, kalaupun datang pasti dalam bentuk berbeda 😃👍"
429,gw gk peduli soal dia pengkhianat banteng ato apa... cara dia maju pake ngakalin konstitusi itu yg masalah!!!
430,"GANJAR - MAHFUD MD.
PILIHAN TEPAT UTK NKRI
🇮🇩🇮🇩🇮🇩
PDIP TETAP DI HATI🤟❤️🤟"
431,gpp soalnya bapak dah mau berakhir jg suka2 sy😂
432,Maaf mas sya gk dukung.
433,"Pada mau ya punya wakil presiden gak tegas mencla mencle tak beretika...gmn kalau dia harus gantikan presidennya yg berhalangan tugas, bisa langsung di caplok asing negri ini"
434,Saatnya yang muda berkarya🤟
435,"Sumpah omongan orang2 bikin sakit hati bgt, attitude nya 0 besar"
436,Gx papa ini yg lu buat jdiin contoh ke anak muda masseh??
437,Ya nggak apa2 lah dianggap. Kan emang iya.
438,2024 Anti Keluarga Pak Lurah
439,Hmmm gitu yaa
440,"Wartawan gak usah kebanyakan nanya ini itu, nanti bisa dilaporin ke paman, sekali pukul palu Indonesia goyang"
441,Polling capres. Cek disini 🔥
442,Tidack apa apa 😢
443,Baru 2 tahun menjabat kok dibilang udah pengalaman...terus yg udah menjabat gubernur selama 10 tahun gimana?
444,Wis to manut aku pokoke Ganjar mahfud jos gandos
445,Keluar dari PDI-P tanpa pamit? Gimana sama rakyat nanti😂
446,Salah ya tetap salah masse.. mau dipermak dengan bahasa gimanapun bagi org waras tetap gak beretika. Indonesia ini etika masih jadi no 1.
447,"TADINYA MAU ALL IN PRABOWO, TAPI GARA2 NARIK NI BOCAH, GA JADI DEH"
448,#2024 Prabowo - Gibran ❤️
449,👏👏👏👏
450,Sdh biasa berkhianat
451,"Siapakah Aku?? Aku anak presiden, pamanku ketua MK dan adikku ketum parpol, tenang gampang di atur semuanya 😂🤪"
452,"ini mslh kesempatan berkarir lbh tinggi..apa yg salah, siapa bs menghalangi"
453,Pasangan via paman nih senggol dong 😂
454,keliatan kok kalo gila jabatan lewat anak2 nya belakangan
455,Anakmuda yang SDH mencontohkan sikap yang buruk.....berkhianat pada partai yang SDH membersarkannya demi ambisi berkuasa
456,Santuy dong... Kan dia cuma anak ingusan tapi kok komennya pada panik gitu 🔥🔥🔥
457,"Kirain gk ada org gila di sektor pemerintahan, ternyata ada org yg tergila-gila dan kekeuh nerusin kekuasaan ke anak2nya"
458,"naudzubillahimindzalik mas, udah ngakalin aturan lewat Mahkamah Keluarga, ini berkhianat pun tanpa malu!"
459,All in prabowo
460,Jgn pilih calon pemimpin yg lahir dr pengkhianat konstitusi @gibran_rakabuming @jokowi @prabowo
461,"Tinggal berani tdk mudur dari wali kota ,krn mbalelo dari partai pengusung,top memang bang.Sandiaga Uno di th.2019,setelah terpilih jd cawapresnya prabowo langsung mengundurkan diri dari wagub DKI,inilah contoh pemimpin massa depan."
462,Kartu anggota pdip pulangin dong y
463,Boleh senyum ya😐
464,"padahal sekeluarga punya jabatan, tapi yg dikasi ke rakyat cuma sepeda mentok mentok laptop doang satu biji wkwk"
465,Enteng bgtt ya jawabnya wkwk.. besok” kalo ditanya wartawan liat rakyat susah.. “ ya gpp “ 😂😂😂😂
466,"Setiap hari pak lurah bicara etika, tapi ternyata bibir tak bertulang"
467,Sebenernya bpk ganjar orangnya merakyat jadi alangkah baiknya bpk ganjar jadi rakyat aja
468,Sedang berproses sptnya tdk mungkinlah berkhianat
469,Rakus amat sampe anak2nya dikasih jabatan satu-satu 🤣
470,"Yangg pussingg ngeliatan politik akhri2 ini, mending liat story gue buat refreshing 😂"
471,Ga ada malu
472,ambisinya sangat besar sih untuk menguasai negeri ini ckck
473,"Masih muda banget Gibran, please kasih tau apa yang sudah dilakukan Gibran? Mungkin saya akan mendukung dia kalau dia bagus."
474,Gpp jd penghianat? 👏
475,"tidak akan kubiarkan power ku selesai sampe disini saja, aku akan bergerak dari belakang layar' - Pak Lurah, 2023"
476,Ora dwe isin mas mas.
477,Mereka diperbudak jabatan
478,Jelas mana yg Petugas Partai dan mana yg rill petugas rakyat... mau dapat jatah capres dgn nolak Pildun u20/pake isu Israel... plakkkk
479,Jangan sampai generasi muda ikut2an dg cara instan
480,Bgitu mudh nya jdi pnghianat dlm prtai...😂😂
481,Pasangan penuh beban..
482,"kalo kata keluarga cemara, harta paling berharga ya keluarga. MAKANYA SEKELUARGA DIKASIH JABATAN POLITIK SEMUA BIAR SEJAHTERA"
483,Auto kalah lagi
484,"Baru awal udah berkhianat, apalagi sama rakyatnya nanti klo jadi"
485,"Diam tolah-toleh, bergerak anaknya kebagian jabatan kabeh 🤣"
486,Kacang lupa kulit.. 😂😂
487,Tombol Prabowo Gibran menang>>
488,Dimulai dg cara yang tidak baik... berarti mrk tidak jujur.
489,terima kasih.. paman😂😂😂
490,Enggak ingat dan gk menghargai lagi pada pejuang2 Pancasila ya ? Eling mas eling mumpung belon kampanye
491,"Semoga amanah siapapun yang jadi. Semoga tidak manut oleh katanya ""pihak yang lebih berkuasa"".Apalagi diolok olok sampai dipermalukan😂"
492,Pemimpin ga bisa dipegang omongannya.. esuk sore mbengi Delle..
493,Kata teman ku @sudarmanto_bahri Contoh buruk bagi masa dpan indonesis
494,Gimik gak sih?
495,Rumongso duwe dekengan...
496,Indonesia bebas dari oligarki ternyata cuma mimpi
497,Klo nanti kalah ya end
498,"Komennya lucu lucu hahahhaha, politik itu dinamis suka pilih kagum dukung gak suka gak kagum yo jangan dipilih. Merasa mas gibran anak ingusan belum pantas ya udah nda usah dipilih beres kan? Masalah dia planga plongo kek apa kek, lah wong alm gusdur aja maaf ya, yang punya kekurangan bisa jadi presiden kok. Gak ada halangan selama dia punya kapasitas dan rakyat percaya siapa aja boleh jadi pemimpin. Wessa adem adem wae lah jangan pada berantem malu negara udah dewasa rakyatnya masih kek anak TK"
499,"Sebenarnya sah2 saja,tp etika nya jelek"
500,Serasa anak dan bapak yg abis berenang😍
501,"Udah terlalu over mainnya, udah mulai gak baik buat negara"
502,Yg dukung ganjar agak lain emang😂
503,"Klo sekedar jd penghianat partai gak masalah... tp jd begal atas proses per UU mestinya malu....msh ingst proses gibran jd Walkot,  jd semacam komandan begal krn backing ayahnya... pemuda memang wajib maju tp dng proses yg sesuai UU dan halal...paham yaa..."
504,"Ga pa pa jangan malu, selama bapak berkuasa buat anak semaksimal mungkin 😎😍🤗 jangan terlambat seperti presiden² sebelumnya..."
505,tampang culun ternyata culas 😂😂
506,Pak ganjar RI 1
507,"Jokowi Ketawa tawa aja pas disindir eh langsung pindah haluan, berasa anak pendiem kalau marah"
508,Gk sabar lihat dia debat
509,Si rentan dan si bloon
510,"Untung Israel gak ikutan pildun FIFA u17 di Solo nanti,  coba klo ikut. ...😂"
511,Baru calon.
512,"Pendidikan tinggi kalo endingnya cuma buat nipu rakyat mending gausah, nah ini contohnya"
513,Capekdehhhh
514,Prabowo tau bagaimana kalah dg cara halus 😇
515,"Pdip aja berani dn bsa dikhianati, apalagi...."
516,Ya jelas gk msalah..kn si ucrit udah kebelet n rakus kekuasaan
517,"Iya gpp mas,,,kan urat malu nya udah pedot"
518,Sombong sekali 😂
519,"Ini lah orang Ga tau bagaimana berterimakasih,"
520,Dah ketebak skenarionya
521,Orang yg suka bungkuk bukan berarti etikanya baik atau pun sopan. Ternyata ni orang ngeprank😂😂
522,"YANG KOMEN ,PADA TAKUT YA 😂😂😂 BARU GIBRAN YANG TURUN ,BELUM JAN ETHES..."
523,Ga apa2 ada paman
524,"Kalo pendapat saya sebenarnya jangankan mau maju jadi cawapres, langsung maju jadi ketua PBB juga ga masalah. Cuma jangan merubah konstitusi demi sampeyan aja tho mas-mas… 🥱"
525,Drama Banteng 😂
526,ra jelas nggak ada perasaan  jd walikota aja lewat PDI P ..nggak bahaya tah sifat gini
527,"Dalam politik, tdk ada kawan dan lawan. Yg ada kepentingan dan kesempatan"
528,"Bahkan PDI-P akan diambil alih oleh jokowi setelah pemilu, sempurna💯✨"
529,Lha mmg keluarga mrka mah gk ada malu.mw bhg kek mw apa kek
530,Anak presiden...suka2 dialah😂😂😂😂
531,Gk sama manusia kepala dua. Kutu loncat. Plinplan
532,Entar kalau Ganjar keok balik kanan dukung Gibran dan bilang inilah kader PDIP
533,"Harusnya selesaikan dulu dengan pdip.
Kalo caranya sudah tidak benar dengan mahkamah keluarga.
Wong nandur bakal ngunduh.
Bismillah ganjar mahfud 1 putaran."
534,Saya merasa prihatin tentang ambisius kekuasaan yg dipertontonkan rakyat di depan publik seolah rakyat dibodohi kekuatan kekuasaan dan seolah republik ini milik mereka diatas segala hukum yg diperkosa oleh lingkaran kekuasaan segampang itukah republik ini di bangun😢
535,Etika mu ndi le.....
536,Sah aja sehh namanya juga politik😂
537,"Ganjar hanya lah boneka nya Megawati yg lemah,..Gue yakin Ganjar GK bisa jadi Jokowi,.. Kesuksesan Jokowi memimpin Indonesia itu bukti kalo Jokowi masih tetap kami cintai,..Prabowo Gibran Jokowi"
538,bingung milih siapa
539,Planga plongo tatapan kosong
540,Pejabat yg korupsi duit rakyat bs disebut penghianat gak ya?
541,Ribut Mulu netim yaudahlah tinggal pilih Prabowo Gibran aja napa😂
542,Karma will take over
543,Dulu emak redbull ngajak JK  dri Golkar jdi cawapres dia utk ngelawan Cawapres Golkar juga tanpa izin apalagi sowan & JK jga gk keluar dri Golkar spi skrng kagak ribut😂ente yg ngajarin cara berhianat di politik😂sekarang playing victim 😂😂
544,"Saran aja buat Mas Gibran,tetap lah selalu rendah hati. Anda sudah dengan tegas meninggalakan tempatnya orang orang pongah sudah menjadi sikap yang bisa dilihat banyak orang kok."
545,Saya tetap dukung Prabowo presiden🔥bersama gibran 2024🔥🔥🔥yakin membawa indonesia maju❤️🤍
546,Urip wes enak yo rak popo kabeh nggeh mas nggeh 🙏😄
547,NUnggu debat capres ajaaah
548,Kalau sudah Clear minimal ada ketegasan Secara resmi . . .
549,Masih muda padahal 😂
550,Aq bukan anak kecil lagi paman😂
551,"Sump4h udah 2 kali pilih pak prabowo,, 2024 allin pak anies aja lah,, malas wakilnya itu 😮😮😢"
552,Clear sekeluarga pulang ke solo lebih cepat
553,Jadi cawapres dgn jalur melegalkan diri lewat MK krn ada om di sana 🤣
554,Masalah partai aja ditanggapi santuy....klo masalah negara dicoba coba kyak praktek aja
555,Sdh gk respek...mentang2 anak presiden.
556,Biasa lah dlm politik..hianat berkhianat..😂😂😂
557,Kyknya klan Pak JKw udah gak sejalan sama red bull .
558,Pemilu menghasilkan calon yg melanggar Etika semua....entah ini suatu keterpaksaan atau memang sifat asli para kandidat. Yang jelas demi Jabatan apapun akan mereka lakukan
559,Ambius berkuasa.MK
560,BENALU!!Perusak Demokrasi Si Wowo....Setelah 2019 Di tinggalkan Pendukung nya😂
561,"Bersin blm bener,jd cawapres😂😂"
562,Apakh si dia jga akn jd pnghint Rakyat.....???
563,Mestinya hal biasa soal keanggotaan partai ya. Dulu JK juga jadin cawapres sementara golkar dukung koalisi lawan. Tapi ya tergantung kebijakan partai.
564,Yg jelas ga tertarik sm BOCIL & KEBO.
565,Keponakan paman MK
566,Hati2 skenario ... 2 lawan1....
567,Lanjut mas gibran
568,"Jangan pilih Anaknya, Attitude ya NOL"
569,Ll
570,Anies yess
571,Ll
572,Majuuuuu @prabowo @gibran_rakabuming yesssss
573,Penghi
574,Lepas dulu ketawak mu.. biar rakyat tau wajah asli mu
575,"Ga tahu malu, begini kalo cawapres jalur paman 🤭"
576,"2 TAHUN KOK PENGALAMAN, 2 TAHUN NYICIL MOTOR AJA BELUM LUNAS"
577,"Ya terima saja dianggap penghianat, karena faktanya seperti itu.."
578,Good 🔥
579,Partai aja dikhianati apalagi rakyat 😢
580,Planga plongo jilid II
581,pak prabowo mungkin juga tidak mikir bila nanti di hianati juga gimana..????😂😂😂😂😂😂😂😂😂😂
582,YG KENAL UDA BANTUIN AJA DI KHIANATIN APALAGI RAKYAT YG GAK DIA KENAL
583,Kl kalah kariernya kandas deh kayak AHY 😂
584,"kalau gak ada ""penghianatan"" , bukan politikus namanya"
585,Iya udah lgsng pelantikan az biar dana triliunan pemilu buat kebutuhan rakyat az gtu 😂
586,"sebelum deklarasi capres wapres, setidaknya Gibran menghadapi ibu Ketum PDIP dgn mengembalikan KTA dan izin pamit, ini Gibran main dua kaki😂 sama aja 1 paket ada 2 pilihan, yg kalah akan bergabung dgn yg memang."
587,"Hasbunallah Wanikmal Wakil Nikmal Maula Wanikman Nasir .Lahaula walaquwata illabillah hil aliyil adzim ,free and save Palestina"
588,Jijik
589,Jijik
590,Sudah karakter bawaan....
591,Intinya jgn moncong putih 2024🤣
592,Gibran og Gibran gemesssh...
593,Ganjar Pranowo Mahfud MD 💪🇮🇩❤️
594,Jangan nyampe rakyat Indonesia di pimpin kakek2 tua sama bocil ngantuk
595,"Menghianati redbull adalah hallal hukumnya ,"
596,"Politik itu kejam, tidak mengenal kawan atau lawan. Terkadang juga tidak beretika, demi mencapai tujuan politik nya."
597,Jangan mau jdi petugas partai😂
598,"Saya dulu mendukung Jokowi , setelah tahu statusnya lewat jalan tol, mk sy mantap dukung GANJAR -MAHFUD yg berintegritas dn punya kapabilitas mimpin negeri RI."
599,Siapapun presidennya jangan yang DP 0% kerja NOL BESAR
600,Politik muluu yg muncul diberanda ampe enek bacanya
601,Teu nanaon.
602,Pengkhianatan reformasi juga
603,Pamit mundur gegara caplin
604,"pendapat saya, sepertinya pak jkw hendak mempersiapkan gibran untuk 3 periode, misal 2024 berhasil jadi wapres, selanjutnya adalah capres untuk 2 periode, karna sekarang dia udah di golkar, kans untuk menjadi ketum golkar cukup besar setelah jadi wapres"
605,"Ini namanya kerja sama, kiri kanan ada orangnya PDI"
606,"Yg satu mengkhianati pendukung ny dulu yg satu mengkhianati partai ny, klop"
607,Anti banteng☝️
608,Milih prabowo apalg ganjar sama saja menjayakan BANTENG. 2024 NO BANTENG DAN DINASTY🔥🔥
609,Sesuatu yg dimulai dg cara yg tidak baik akan menemui ketidak baikan pada ujungnya
610,sekarep mu putra mahkota
611,Kebiasaan emg..😂
