,comments
44,Sdh biasa berkhianat
45,Gibran muka kok Ploga plongo Kyok bapak e 😂
46,gw gk peduli soal dia pengkhianat banteng ato apa... cara dia maju pake ngakalin konstitusi itu yg masalah!!!
47,"naudzubillahimindzalik mas, udah ngakalin aturan lewat Mahkamah Keluarga, ini berkhianat pun tanpa malu!"
48,2024 Anti Keluarga Pak Lurah
49,Jgn pilih calon pemimpin yg lahir dr pengkhianat konstitusi @gibran_rakabuming @jokowi @prabowo
50,Sudah keliatan bgt gak profesional dan tidak menghormati dah lah buka mata pake otak rakyat udah pintar 😅
51,"Ribet ribut amat orang2 sekarang ributin apa juga, dunia politikus dari dulu sampai sekarang ya sama saja, biarlah siapa yg terpilih, lagi pula kalian tetep kerja keras untuk menghidupi istri dan anak2mu, terserah mereka yg terpilih mau indonesia ini di jadikan negara yg seperti apa, kulo manut mawon"
52,Pasangan penuh beban..
53,"Sumpah omongan orang2 bikin sakit hati bgt, attitude nya 0 besar"
54,Saatnya yang muda berkarya🤟
55,Pengkhianatan reformasi juga
56,"""Karena Paman"".. 2024 semakin yakin Pilih Anies Muhaimin.. AMIN...🇲🇨 #AMINAjaDulu ------------------------->>"
57,#2024 Prabowo - Gibran ❤️
58,😂😂😂😂😂😂
59,Love Pak Prabowo dan Mas Gibran... Udah bener sama Pak Prabowo... Nggak bagus juga 1 Partai Berkuasa terlalu lama.. Nanti bukan jadi kepentingan rakyat tapi malah kepentingan partai.. Syemangat.. ❤️
60,Mau siapa yg jadi presidennya...hidup semakin susah kok...byknya peraturan2 yg bikin rakyat tambah susah...emang ada dipikiran mereka...
61,"Plot Twist dalam Negeri dongeng ini adalah, ""What If""... Menjelang PILPRES 2024, bu Mega sengaja membuat skema seolah-olah keluarga Presiden di musuhi partainga agar masyarakat empati dan mendukung keluarga Presiden untuk menang di 2024 sebagai pembuktian bahwa tanpa ""Banteng"" mereka bisa... Setelah menang, sang ""Banteng"" pun berdamai dan kembali berkuasa..."
62,PDIP 2024 skip dlu
63,Lepas dulu ketawak mu.. biar rakyat tau wajah asli mu
64,"Kepada yang terhormat
Pendukung Prabowo
""SPIL DONG PRESTASI BELIAU APA SAJA""
Jangan cuma (ALL IN, ALL IN) kami bosan bacanya gak kreatif sama sekali... 😂😂😂"
65,Enteng bgtt ya jawabnya wkwk.. besok” kalo ditanya wartawan liat rakyat susah.. “ ya gpp “ 😂😂😂😂
66,Sangat menyesal langkahnya mas coba klo sabar dan kbh elegent semua jd enak..akhirnya klo skarang trima resiko nya saja jujur sy menyayangkan saja ambil langkah demikian tp sy percaya mungkin sdh surat harus begini jadinya 😢😢😢😢
67,Ahli membuat martabak
68,Etika mu ndi le.....
69,Oh... Ponakan kesayangan Paman
70,2024 #antipdip
71,Karma will take over
72,All in prabowo
73,Pak Jokowi you are the best president.... Gara gara pak Jokowi saya bisa dari Stabat ke tebing lewat toll pak❤️❤️❤️
74,Ganjar Pranowo Mahfud MD 💪🇮🇩❤️
75,Clear gigi mu bran?
76,#AntiRezimLurah
77,"Tenang tenang mas Gibran, Pak Prabowo sudah ada disini"
78,Jelas mana yg Petugas Partai dan mana yg rill petugas rakyat... mau dapat jatah capres dgn nolak Pildun u20/pake isu Israel... plakkkk
79,Klo sdah Clear berarti Jokowi 2 Kaki.
80,Kata teman ku @sudarmanto_bahri Contoh buruk bagi masa dpan indonesis
81,Jangan nyampe rakyat Indonesia di pimpin kakek2 tua sama bocil ngantuk
82,Jijik
83,Jijik
84,YG KENAL UDA BANTUIN AJA DI KHIANATIN APALAGI RAKYAT YG GAK DIA KENAL
85,"Ya terima saja dianggap penghianat, karena faktanya seperti itu.."
86,"Bersin blm bener,jd cawapres😂😂"
87,Biasa lah dlm politik..hianat berkhianat..😂😂😂
88,Terlalu cepat...
89,"Kirain gk ada org gila di sektor pemerintahan, ternyata ada org yg tergila-gila dan kekeuh nerusin kekuasaan ke anak2nya"
90,Kartu anggota pdip pulangin dong y
91,Ahkkk CEBONG CAWE2 LG ACTING DRAMA POLITIK!! 11-12 DIA2 JUGA.
92,Bgitu mudh nya jdi pnghianat dlm prtai...😂😂
93,"Kesempatan tidak datang 2 kali, kalaupun datang pasti dalam bentuk berbeda 😃👍"
94,"Jokowi Ketawa tawa aja pas disindir eh langsung pindah haluan, berasa anak pendiem kalau marah"
95,Ya Ga pa pa wong bapak nya presiden 😂
96,"yah belajar dulu lah ya, siap2 aja dulu, besok kan siapa tau jadi pengkhianat rakyat juga wkwkwkwk"
97,Terima kasihh paman
98,Modal bapak nya aja
99,Santuy dong... Kan dia cuma anak ingusan tapi kok komennya pada panik gitu 🔥🔥🔥
100,TETEP PAK PRABOWO
101,"Kami kaum awam,,,penghianat itu yg bagaimana,,,tolong dijelaskan👏"
