,comments
71,D lobby semua politik itu emang dinamis👏👏
72,PKB itu Hijau ada di Anies😂 dan PPP itu juga hijau ada di ganjar😂
73,ALL IN PRABOWO 🔥
74,😍😍👍
75,@brorondm info om
76,😂😂😂😂😂
77,Cieee 😂
78,MANTAP
79,Oligarki ngumpul
80,lebih besar lagi
81,#prabowogibran2024
82,Harusnya ini cawapresnya
83,Tombol Prabowo for presiden>>>>>>>>>>
84,Hijau kantong mu😮
85,❤️❤️❤️❤️
86,"pusing klo udh mikirin politik ! dipikirkan,dibela2in toh gk dpt apa2 ,gk di pikirkan jg ntr dibilang gk peduli dgn keadaan bangsa ,serba salah ,intinya kami rakyat hanya bs mensuport apapun keadaan bangsa ini asalkan berpihak kpd kami ,jd kan kami raja dihadapan kalian(wahai para pemangku jabatan negeri ini) itu saja"
87,Jangan suka PHP in orang gitu kan ...SKCK sdh di bingkai belum  buat kenang2an 😂😂😂
88,Smoga pak prabowo menang dn pak erick ttp jd mentrinya
89,🔥🔥🔥
90,Ikut2 MENDOBRAK KONSTITUSI dan MERUSAK DEMOKRASI bang ? Ikut menghancurkan reformasi 25 thn yg sdh diperjuangkan bang ?
91,👍❤
92,"Menteri Badan Usaha Milik Negara (BUMN) Erick Thohir menyatakan dukungannya kepada Menteri Pertahanan sekaligus calon presiden Prabowo Subianto. Hal itu disampaikan usai dirinya dan keluarga makan bersama dengan Prabowo.⁣
⁣
Erick mengatakan, dirinya ingin menjadi bagian untuk Indonesia yang lebih besar, maju dan baik lagi.⁣"
93,All in probowo gibran🙌
94,Hijau berlumut atau gimana...
95,"Mantap banget keren dia, Semakin yakin Prabowo 2024🔥🔥🔥"
96,"Lebih pak Erik netral, jgn jadi bagian capres cawapres. Sayang masa depan pak erik."
97,"Setelah PHP 12 jam, dari orang no 1 dan hanya jadi ATM tetap dukung.... 
Warbiasa.... 
😂😂"
98,"Kl putusan MK cacat hukum, pak Erik pengganti Gibran. Harusnya sih dr awal ya spy tdk ada kisruh lembaga. Kontestasi bs lebih adem meski tetap bersaing."
99,ALLIN GANJAR-MUHAIMIN 🔥
100,Ternyata timbul tenggelam bersama rakyat cm slogan doang...Ternyata alirannya nepotisme..KAPOOKKK
101,"Anak Pak Erick menitipkan mimpi dengan orang yang salah...bagaimana bisa mengharapkan bumi yang hijau kalau Hutan yang asri aja di Kalteng dia gundulin.....gersang....katanya mau tanam singkong.....kayunya hilang, hutannya gundul, singkongnya gak ada."
102,GANJAR MAHFUD TEPAT UTK INDONESIA 🇮🇩🇮🇩🇮🇩
103,Cb pasangan nya ini
104,kirain saya akan support Palestina 🇵🇸🇵🇸🇵🇸🇵🇸
105,😂😂😂😂
106,Sy support Prabowo tp ngga utk Gibran cawapres nya.. bg mna dong? 🙄
107,Hijau maksudnya
108,ganti calon wakil 1000% gw pilih prabowo
109,Tanda2 ET ganti Gibran
110,❤️❤️❤️
111,tetap Prabowo-Gibran untuk Indonesia maju 🔥
