slang,formal
lgi,lagi
beneran,benaran
gak,tidak
yeuh,ya
ga,tidak
dianterin,diantar
kmn,kemana
anterin,antarkan
gak,tidak
kmu,kamu
dianter,diantar
disupirin,disopiri
anterin,antarkan
yg,yang
yg,yang
yg,yang
yg,yang
klo,kalo
bgt,banget
aj,saja
lbh,lebih
trs,terus
jidad,jidat
lbh,lebih
yg,yang
lbh,lebih
yg,yang
lbh,lebih
jangan2,jangan-jangan
yg,yang
yg,yang
yg,yang
yg,yang
ga,tidak
yg,yang
ciee,cie
yg,yang
bln,bulan
novembr,november
yaa,ya
ka,kak
smga,semoga
smpe,sampai
hri,hari
yg,yang
donk,dong
bedain,membedakan
yg,yang
genduut,gendut
ka,kak
yg,yang
yg,yang
ehhh,eh
smua,semua
gak,tidak
yaa,ya
kl,kalo
yg,yang
g,tidak
bertatto,bertato
brrt,berarti
ak,aku
yg,yang
yg,yang
kana,kanan
yg,yang
yg,yang
dtg,datang
doong,dong
yg,yang
bedain,membedakan
yg,yang
yg,yang
yg,yang
sbelah,sebelah
cew,cewek
it,itu
yg,yang
sblah,sebelah
yg,yang
keliatan,kelihatan
yg,yang
tauuu,tau
yg,yang
yg,yang
yg,yang
tengaj,tengah
yg,yang
yg,yang
ka,kak
org,orang
kn,kan
ps,pas
jg,juga
liat,lihat
kk,kakak
dri,dari
k,kak
kn,kan
yg,yang
ad,ada
yg,yang
pke,pakai
kk,kakak
y,ya
yg,yang
gmpg,gampang
bgt,banget
yg,yang
yg,yang
engk,tidak
br,baru
yg,yang
gk,tidak
dr,dari
ak,aku
apal,hapal
dak,indak
ni,ini
rupa2nya,rupa-rupanya
kembaq,kembar
yg,yang
yg,yang
yg,yang
yg,yang
bngt,banget
yg,yang
tngh,tengah
yg,yang
klw,kalo
mknya,makanya
sdkit,sedikit
kyk,kayak
prmpuan,perempuan
yg,yang
pcarny,pacarnya
yg,yang
ketuker,tertukar
gmana,bagaimana
udah,sudah
yg,yang
tu,itu
yg,yang
yg,yang
drimnanya,darimananya
bgt,banget
cntikan,cantikan
gak,tidak
edaaaan,edan
mw,mau
dgn,dengan
dgn,dengan
yg,yang
bngt,banget
syp,siapa
yg,yang
bcnda,bercanda
cantiiik,cantik
ahhh,ah
uhhh,uh
bazengg,bajingan
haiii,hai
bangat,banget
bosaan,bosan
gitu2,begitu-gitu
udah,sudah
pake,pakai
kmana2,kemana-mana
gak,tidak
yuuk,yuk
miripp,mirip
kk,kakak
kyk,kayak
bnget,banget
lg,lagi
kl,kalo
adlh,adalah
dlm,dalam
hrsnya,harusnya
sdh,sudah
krn,karena
bhw,bahwa
yg,yang
bkn,bukan
yg,yang
sdg,sedang
org,orang
yg,yang
yg,yang
jd,jadi
tdk,tidak
krn,karena
gmn,bagaimana
kl,kalo
dgn,dengan
sdh,sudah
ksh,kasih
utk,untuk
kl,kalo
pdhl,padahal
lg,lagi
jd,jadi
dgn,dengan
komentar2,komentar-komentar
yg,yang
kenyataan2,kenyataan-kenyataan
yg,yang
silahkan,silakan
yg,yang
sbg,sebagai
dtg,datang
lwt,lewat
yg,yang
krn,karena
yg,yang
yg,yang
yg,yang
sy,saya
dlm,dalam
sdh,sudah
jd,jadi
sy,saya
spt,seperti
yg,yang
mba,mbak
yg,yang
sy,saya
yg,yang
jd,jadi
sy,saya
tp,tapi
sj,saja
tdk,tidak
sy,saya
krn,karena
sy,saya
sdh,sudah
yg,yang
utk,untuk
jg,juga
sdh,sudah
blg,bilang
org2,orang-orang
dr,dari
gw,gue
blg,bilang
sukur2,sukur-sukur
yg,yang
dpt,dapat
dr,dari
tp,tapi
bener,benar
yg,yang
mba,mbak
dlm,dalam
mba,mbak
aamiin,amin
lg,lagi
gw,gue
ksh,kasih
yg,yang
jg,juga
baek2,baik-baik
hati2,hati-hati
sma,sama
yg,yang
smua,semua
sma,sama
cma,cuma
yg,yang
gak,tidak
nasehatin,menasihati
blm,belum
jg,juga
dgn,dengan
jgn,jangan
krna,karena
hnya,hanya
km,kamu
yg,yang
bener,benar
yaa,ya
jgn,jangan
sama2,sama-sama
dgn,dengan
yg,yang
yg,yang
kl,kalo
utk,untuk
beda2,beda-beda
jgn,jangan
km,kamu
dgn,dengan
berbeda2,berbeda-beda
skrg,sekarang
yg,yang
bkn,bukan
yg,yang
silahkan,silakan
lg,lagi
dgn,dengan
dgn,dengan
yg,yang
dibkatakan,dikatakan
yg,yang
bhw,bahwa
mrk,mereka
yg,yang
doonk,dong
yg,yang
yg,yang
dgn,dengan
ngaku,mengaku
pengikuy,pengikut
tp,tapi
ngmngin,mengomongkan
dr,dari
yg,yang
dmn,dimana
tuch,tuh
u,untuk
org,orang
yg,yang
ngmngin,mengomongkan
gak,tidak
dr,dari
gak,tidak
jgn,jangan
dapet,dapat
sblmnya,sebelumnya
mba,mbak
maksd,maksud
bner,benar
tp,tapi
dr,dari
yg,yang
masing2,masing-masing
adkah,adakah
yg,yang
menbelah,membelah
yg,yang
karna,karena
mba,mbak
ayuk,ayo
yg,yang
mngira,mengira
bertolernsi,bertoleransi
slahkan,salahkan
krna,karena
tolernsi,toleransi
aminn,amin
yg,yang
tdk,tidak
tu,itu
tdk,tidak
yg,yang
dgn,dengan
dgn,dengan
yg,yang
yg,yang
tdk,tidak
yg,yang
skrang,sekarang
sbnarnya,sebenarnya
ingi,ingin
dlm,dalam
dah,deh
oalaaaa,walah
menjelekan,menjelekkan
hadeuuh,aduh
ngomong,mengomong
aja,saja
dikemanain,dikemanakan
pake,pakai
aja,saja
gk,tidak
yg,yang
aneh2,aneh-aneh
km,kamu
gmn,bagaimana
ngak,tidak
yg,yang
ato,atau
yg,yang
jg,juga
trus,terus
jg,juga
bpknya,bapaknya
yg,yang
dgn,dengan
jd,jadi
yg,yang
yg,yang
yg,yang
yg,yang
yg,yang
adlh,adalah
dlm,dalam
tdk,tidak
baca2,baca-baca
ga,tidak
yg,yang
dgn,dengan
lbh,lebih
hrsnya,harusnya
jwb,jawab
sy,saya
dgn,dengan
bkn,bukan
tp,tapi
tdk,tidak
sy,saya
yg,yang
mrk,mereka
yg,yang
gk,tidak
mrk,mereka
adlh,adalah
bkn,bukan
cm,cuma
tp,tapi
jg,juga
org,orang
bs,bisa
kl,kalo
tdk,tidak
tdk,tidak
lbh,lebih
dgn,dengan
tdk,tidak
yg,yang
mba,mbak
tp,tapi
komen2,komen-komen
yg,yang
dgn,dengan
berbeda2,berbeda-beda
pdhl,padahal
dlm,dalam
yg,yang
adlh,adalah
adlh,adalah
yg,yang
kpd,kepada
tdk,tidak
sbg,sebagai
utk,untuk
dr,dari
ga,tidak
yg,yang
sebelum2nya,sebelum-sebelumnya
sbagai,sebagai
masing2,masing-masing
amiin,amin
sedihh,sedih
ka,kak
kangennnn,kangen
smga,semoga
d,di
gndakan,gandakan
kk,kakak
kangeeeeeeeenya,kangen
sm,sama
k,kak
bgt,banget
yg,yang
kngen,kangen
bgtt,banget
sma,sama
gaa,tidak
akn,akan
yg,yang
ganti'kn,menggantikan
smg,semoga
tnang,tenang
amiiiiiiiiiiiiiiiiin,amin
sma,sama
kangennnn,kangen
kgeeeen,kangen
kangeenn,kangen
kangennn,kangen
bangeeeet,banget
smoga,semoga
tnang,tenang
kgn,kangen
hdup,hidup
g,tidak
bsok,besok
hbis,habis
mti,mati
g,tidak
bngetttt,banget
kangeen,kangen
bgect,banget
bangat,banget
dgn,dengan
ama,sama
yah,ya
ajah,saja
aja,saja
ajah,saja
fto,foto
ni,ini
"kebaikan""y",kebaikannya
d,di
trima,terima
smoga,semoga
jg,juga
d,di
dssi,disisi
kngenn,kangen
bngett,banget
kebayang,terbayang
yg,yang
yg,yang
kangeeeeennn,kangen
pengen,pengin
dgr,dengar
lagii,lagi
dasyat,dahsyat
ngak,tidak
karna,karena
ngak,tidak
ni,nih
aer,air
bgni,begini
kk,kakak
sya,saya
pake,pakai
skalii,sekali
kngen,kangen
kk,kakak
ama,sama
org,orang
yg,yang
spt,seperti
alm,almarhum
gg,tidak
dtinggl,ditinggal
kk,kakak
terbaiiikkkkk,terbaik
murahhh,murah
pecahhg,pecah
ihh,ih
skrang,sekarang
yahh,ya
gini,begini
kaka,kakak
kakakgh,kakak
terbaeeeek,terbaik
bet,banget
pngen,pengin
emg,memang
prempuan,perempuan
pengen,pengin
udah,sudah
manteep,mantap
wihh,wih
gk,tidak
yg,yang
ngerii,ngeri
bangettt,banget
dehh,deh
makasih,terima kasih
yg,yang
nggeh,engah
indonesiaaa,indonesia
makasih,terima kasih
beneran,benaran
inia,ini
ap,apa
maluu,malu
sempet,sempat
karna,karena
gk,tidak
cobaaaa,coba
ngerii,ngeri
bangett,banget
dehhh,deh
gak,tidak
akn,akan
nyesel,menyesal
cepetan,cepatan
ga,tidak
nyesel,menyesal
udah,sudah
buktiin,membuktikan
yg,yang
ntapsss,mantap
njir,anjir
kamiiii,kami
yg,yang
bgttt,banget
sll,selalu
smangat,semangat
mb,mbak
bc,baca
makasih,terima kasih
byk,banyak
temen2,teman-teman
yg,yang
yaa,ya
byk,banyak
yg,yang
syg,sayang
aq,aku
qmu,kamu
aq,aku
jdi,jadi
tw,tau
gimana,bagaimana
sdkit2,sedikit-sedikit
tntg,tentang
penyakitny,penyakitnya
gak,tidak
da,ada
yg,yang
gak,tidak
mgkin,mungkin
yg,yang
qmu,kamu
slalu,selalu
slalu,selalu
ngajarin,mengajari
tntg,tentang
pa,apa
krn,karena
smakin,semakin
qmu,kamu
dy,dia
spt,seperti
laenny,lainnya
jga,juga
dri,dari
laenny,lainnya
jga,juga
jga,juga
yach,ya
smoga,semoga
bsa,bisa
dapet,dapat
amiinnn,amin
scpatny,secepatnya
trus,terus
yach,ya
bwt,buat
sampein,sampaikan
bwt,buat
yach,ya
smoga,semoga
slalu,selalu
jdi,jadi
yg,yang
bwt,buat
tuany,tuanya
jdi,jadi
yg,yang
amiiinn,amin
bgt,banget
byk,banyak
amiin,amin
iyaaa,iya
gpp,tidak apa-apa
amiinn,amin
ttp,tetap
slalu,selalu
jdi,jadi
yach,ya
amiiinnn,amin
mudah2an,mudah-mudahan
doa2,doa-doa
yg,yang
utk,untuk
amiiinn,amin
bgttt,banget
pjg,panjang
yahhh,ya
syg,sayang
adeeek,adek
jd,jadi
dr,dari
aminnn,amin
amiin,amin
q,ku
bca,baca
ampe,sampai
netes,menetes
mataq,mataku
q,ku
byangin,membayangkan
trjadi,terjadi
ma,sama
q,aku
skrg,sekarang
pnya,punya
bln,bulan
q,aku
dposisi,diposisi
mgkn,mungkin
q,aku
g,tidak
utk,untuk
q,ku
mba,mbak
spt,seperti
tanda2nya,tanda-tandanya
spt,seperti
dijwb,dijawab
smoga,semoga
yg,yang
orgtuanya,orang tuanya
org,orang
aamiin,amin
smoga,semoga
slalu,selalu
aamiin,amin
mudah2an,mudah-mudahan
amiin,amin
byk,banyak
dr,dari
ga,tidak
tmpt,tempat
anak2,anak-anak
tp,tapi
anak2,anak-anak
dgn,dengan
anak2,anak-anak
yg,yang
dgn,dengan
utk,untuk
tmn2nya,teman-temannya
amiinn,amin
makasih,terima kasih
sayy,sayang
bgt,banget
byk,banyak
dr,dari
q,ku
pgen,pengin
jd,jadi
kyk,kayak
km,kamu
benar2,benar-benar
pgn,pengin
salaam,salam
y,ya
kakk,kak
mba,mbak
nangis,menangis
mba,mbak
yg,yang
jg,juga
sampek,sampai
aq,aku
ngerasain,merasai
yg,yang
rasain,rasai
na,nya
aq,aku
ngajar,mengajar
gmn,bagaimana
dri,dari
yg,yang
yg,yang
yaa,ya
dri,dari
liad,lihat
fto2,foto-foto
ngerasa,merasa
yg,yang
laen,lain
yg,yang
bgt,banget
yaa,ya
yg,yang
dlu,dulu
karna,karena
dallam,dalam
tp,tapi
yg,yang
yg,yang
sudh,sudah
dgn,dengan
orang2,orang-orang
tentanh,tentang
amiin,amin
dasyat,dahsyat
pingin,pengin
nangiss,menangis
bgt,banget
yg,yang
jd,jadi
bgt,banget
karna,karena
nnton,nonton
kejadianny,kejadiannya
tp,tapi
ga,tidak
main2,main-main
yg,yang
kk,kakak
smua,semua
slalu,selalu
yg,yang
slalu,selalu
kk,kakak
klg,keluarga
jd,jadi
yg,yang
kk,kakak
sayaang,sayang
smoga,semoga
slalu,selalu
jd,jadi
kebanggan,kebanggaan
klg,keluarga
jd,jadi
yg,yang
yg,yang
slalu,selalu
org,orang
jd,jadi
jd,jadi
yg,yang
sayaang,sayang
klg,keluarga
pd,pada
msg2,masing-masing
yg,yang
smg,semoga
yg,yang
yg,yang
org,orang
bgt,banget
pd,pada
yg,yang
tp,tapi
hrs,harus
bgt,banget
dr,dari
nyesel,menyesal
bgt,banget
ga,tidak
sblm,sebelum
pdhl,padahal
ngerasa,merasa
ga,tidak
byk,banyak
pgnnya,penginnya
meluk,memeluk
tp,tapi
ga,tidak
mudah2an,mudah-mudahan
kata2nya,kata-katanya
gak,tidak
lg,lagi
duhh,duh
bangeet,banget
siiihhh,sih
mupeng,muka pengin
baper,bawa perasaan
trus,terus
gini,begini
gitu,begitu
caya,percaya
pingin,pengin
kpn,kapan
km,kamu
mna,mana
ny,nya
d,di
yg,yang
bgt,banget
yg,yang
kek,kayak
gini,begini
gak,tidak
liat,lihat
aduhhhhhhhhh,aduh
bangettt,banget
buseett,buset
gitu,begitu
mblo,jomblo
nyari,mencari
yg,yang
bgini,begini
km,kamu
kek,kayak
gini,begini
gini,begini
bkin,bikin
ga,tidak
bgt,banget
yaa,ya
males,malas
njir,anjir
lucuuu,lucu
gagahx,gagahnya
miriiiip,mirip
kaliiii,kali
miriiiip,mirip
bgt,banget
ky,kaya
wahh,wah
bgt,banget
yakk,ya
ga,tidak
niru,meniru
bpknya,bapaknya
mudah2an,mudah-mudahan
bpkmu,bapakmu
aje,saja
aq,aku
sangt,sangat
kmn,kemana
dgn,dengan
slm,salam
gak,tidak
baang,bang
gasih,tidak sih
kasian,kasihan
gak,tidak
pake,pakai
mba,mbak
bgt,banget
yuu,yuk
yg,yang
aqu,aku
yuuu,yuk
cantiik,cantik
yukk,yuk
rb,ribu
aja,saja
cantikk,cantik
gantengg,ganteng
kt,kita
bgt,banget
seneng,senang
liat,lihat
samaa,sama
seneng,senang
liatnya,lihatnya
ngademin,mengademkan
aahh,ah
ngiri,mengiri
pengen,pengin
gini,begini
kakkk,kak
ayuk,ayo
yukk,yuk
kakk,kak
makasi,terima kasih
looo,loh
gak,tidak
pake,pakai
utk,untuk
yg,yang
yg,yang
ga,tidak
nyesel,menyesal
uda,sudah
keluarin,keluarkan
yokk,yuk
ayoook,ayo
gini,begini
gils,gila
kek,kayak
aja,saja
ono,sono
ama,sama
pke,pakai
kpn,kapan
kek,kayak
gni,begini
nggak,tidak
trs,terus
trus,terus
gini,begini
weeeh,wih
bagiin,membagikan
suksea,sukses
kaa,kak
temenan,berteman
yah,ya
temenan,berteman
bsa,bisa
sehh,sih
deket,dekat
bgt,banget
temen,teman
dekt,dekat
ihh,ih
bgtt,banget
genggg,geng
bsok,besok
gtu,begitu
yawloh,ya allah
gimana,bagaimana
gak,tidak
gak,tidak
gini,begini
njirr,anjir
bhnya,bahannya
km,kamu
dlu,dulu
anjirrrr,anjir
cucokkk,cocok
loo,loh
samaaaa,sama
gak,tidak
nyangka,menyangka
dlm,dalam
yaaa,ya
abanggku,abangku
sayanggg,sayang
lagii,lagi
dsni,disini
ajaa,saja
silahkan,silakan
ciieeeeeee,cie
kokohh,engkoh
cieeeee,cie
sukaaa,suka
pdhal,padahal
takuttt,takut
yuks,yuk
yah,ya
yng,yang
kmrn,kemarin
bg,bang
kmrn,kemarin
bg,bang
pnjual,penjual
yh,ya
gak,tidak
ahhh,ah
sma,sama
ga,tidak
dung,dong
latian,latihan
yaaaa,ya
bgt,banget
ampe,sampai
lgsg,langsung
aaaaaaakkk,ah
mauuuu,mau
yg,yang
ga,tidak
soga,moga
kmu,kamu
gak,tidak
yg,yang
gitu,begitu
kngen,kangen
pngen,pengin
tteh,teteh
sintron,sinetron
pake,pakai
astagaa,astaga
w,gue
ancurrr,hancur
ap,apa
td,tadi
iaa,iya
liat,lihat
dblkang,dibelakang
yayang,sayang
y,ya
yah,ya
ginian,beginian
gimna,bagaimana
bingit,banget
kmu,kamu
gokillllll,gila
yg,yang
gokillllll,gila
kk,kakak
cntik,cantik
bgtt,banget
aplks,aplikasi
pengen,pengin
nyoba,mencoba
yg,yang
dongg,dong
makasi,terima kasih
pling,paling
ska,suka
denger,dengar
ktawa,ketawa
amiin,amin
hrs,harus
aamiin,amin
yaa,ya
gini,begini
aamiin,amin
amiin,amin
pengen,pengin
baguuus,bagus
aamiin,amin
ntar,entar
ayoook,ayo
udah,sudah
kaaan,kan
ihhh,ih
banged,banget
yok,yuk
pgn,pengin
gini,begini
mauuuuu,mau
ngepoin,mengepoi
uuhh,uh
ngakak,mengakak
gitu,begitu
bgt,banget
bgt,banget
dah,deh
pengen,pengin
beut,banget
baper,bawa perasaan
gw,gue
gw,gue
skrg,sekarang
sampe,sampai
duhh,duh
njirrr,anjir
duhh,duh
baper,bawa perasaan
ngiri,mengiri
pengeeenn,pengin
bgt,banget
yak,ya
g,tidak
bosen,bosan
liat,lihat
dongggg,dong
gini,begini
trs,terus
trs,terus
nyampe,sampai
g,tidak
bosen,bosan
liatnya,lihatnya
qu,ku
qu,ku
gak,tidak
pengen,pengin
hatii,hati
aja,saja
laa,lah
besook,besok
ahh,ah
aq,aku
mauu,mau
gtuu,begitu
gara2,gara-gara
maen,main
yg,yang
njayyy,anjay
ngakak,mengakak
elu,lu
maacih,terima kasih
tokayyy,tahi
yg,yang
taun,tahun
to,tapi
mksdku,maksudku
knp,kenapa
gw,gue
gituin,begitukan
lgsung,langsung
cba,coba
gk,tidak
nh,nih
bgt,banget
klo,kalo
lg,lagi
gituin,begitukan
gak,tidak
yah,ya
gak,tidak
"ilang""",hilang-hilang
giniin,beginikan
aja,saja
ksini,kesini
kaaa,kak
kubarikan,kuberikan
aq,aku
giniin,beginikan
ayank,sayang
anyeng,anjing
skali,sekali
bng,bang
njirrr,anjir
lgi,lagi
ngapain,mengapai
kya,kaya
gx,tidak
yankkk,sayang
aja,saja
d,di
cukurrr,cukur
gilaaaaaa,gila
aja,saja
yah,ya
ga,tidak
tu,itu
pala,kepala
klau,kalo
bgt,banget
kaka,kakak
yhaaa,ya
qaqaaaa,kakak
sayangkuuuuu,sayangku
kakakuuu,kakakku
dh,deh
orng,orang
kk,kakak
rb,ribu
klau,kalo
rb,ribu
yah,ya
bangett,banget
bgt,banget
gini,begini
naksir,menaksir
pake,pakai
pake,pakai
rekomendasiin,merekomendasikan
gak,tidak
banx,bang
utk,untuk
edannn,edan
pake,pakai
udah,sudah
nggk,tidak
thn,tahun
thn,tahun
makasih,terima kasih
udh,sudah
ksh,kasih
bangett,banget
ga,tidak
lg,lagi
liat,lihat
bs,bisa
bape,bawa perasaan
skrg,sekarang
yg,yang
"artis""",artis-artis
naksir,menaksir
ngelahirin,melahirkan
paksain,memaksa
biasaa,biasa
pengen,pengin
besarin,membesarkan
hub,hubungi
aja,saja
makasih,terima kasih
saranin,menyarankan
ga,tidak
udah,sudah
saranin,menyarankan
bangett,banget
saranin,menyarankan
skrg,sekarang
ga,tidak
nyesel,menyesal
aja,saja
makasih,terima kasih
yaa,ya
hubunggi,hubungi
gak,tidak
loooh,loh
kek,kayak
telimakacih,terima kasih
telimakacih,terima kasih
bngt,banget
keliatan,kelihatan
yuuk,yuk
nerawang,menerawang
alloh,allah
cantiiiik,cantik
ga,tidak
didapet,didapat
tanya2,tanya-tanya
dapetin,mendapati
gak,tidak
pede,percaya diri
gara2,gara-gara
ga,tidak
utk,untuk
smoga,semoga
ttp,tetap
aminn,amin
kuningggg,kuning
kk,kakak
mz,mas
mb,mbak
emg,memang
keliatan,kelihatan
nyolot,menyolot
donk,dong
kk,kakak
udah,sudah
aja,saja
sihhh,sih
tu,itu
cantikkk,cantik
kakk,kakak
ska,suka
ko,kok
gak,tidak
yah,ya
org,orang
indo,indonesia
lgsg,langsung
kyk,kayak
gini,begini
ga,tidak
ga,tidak
yg,yang
liat,lihat
ad,ada
d,di
bangat,banget
aja,saja
ni,ini
elahh,alah
ngaca,mengaca
gk,tidak
pd,pada
ga,tidak
pnting,penting
pnya,punya
dlm,dalam
ga,tidak
ga,tidak
bela2in,membela-bela
smpe,sampai
marah2an,marah-marahan
prnh,pernah
wlaupun,walaupun
syantiiiiikkkkkkkkkkkk,cantik
punyaaa,punya
aja,saja
gk,tidak
yg,yang
nd,indak
ush,usah
"bwa""",bawa-bawa
agma,agama
subahanallah,subhanallah
cantikk,cantik
bgt,banget
pke,pakai
hijabb,hijab
engga,tidak
bangettttt,banget
kerrennn,keren
ga,tidak
makasih,terima kasih
udah,sudah
rekomendasiin,merekomendasikan
jd,jadi
lbih,lebih
dr,dari
ngetik,mengetik
ntr,entar
ntah,entah
pan,kapan
aja,saja
mateeeek,mati
mba,mbak
yah,ya
sma,sama
kl,kalo
gimana,bagaimana
geetoo,begitu
ginian,beginian
ga,tidak
diginiin,dibeginikan
ntr,entar
sewain,menyewa
kokkk,kok
muluuu,melulu
kaka,kakak
yaaang,yang
iyaa,iya
ntar,entar
dbuat,dibuat
gituu,begitu
yappp,ya
msih,masih
thn,tahun
lg,lagi
uwahhhhh,wah
g,tidak
bs,bisa
lbh,lebih
lg,lagi
bnr2,benar-benar
psgn,pasangan
yg,yang
cocokkk,cocok
dr,dari
ujg,ujung
rmbut,rambut
smp,sampai
kki,kaki
kgn,kangen
liat,lihat
liat,lihat
kgn,kangen
mreka,mereka
yg,yang
dlu,dulu
yg,yang
pengen,pengin
y,ya
hayukk,hayo
gini,begini
segitunya,sebegitunya
pngn,pengin
ntab,mantab
mauu,mau
atuhhh,atuh
yukss,yuk
lihaatttt,lihat
yg,yang
ayoo,ayo
niiiihh,nih
liattt,lihat
cuyyy,cuy
dr,dari
gapernah,tidak pernah
bosen,bosan
liatiii,lihat
jombsss,jomblo
emesshhh,gemas
gemeessss,gemas
poollll,pol
gemesyak,gemas ya
pengen,pengin
gini,begini
bgtttt,banget
ko,kok
klo,kalo
kyk,kayak
gini,begini
yaaa,ya
cntiknya,cantiknya
yaaa,ya
lucuuu,lucu
bngttt,banget
ngegmesin,menggemaskan
hndak,hendak
kh,kah
hndk,hendak
iiih,ih
lutunaa,lucunya
lucuuu,lucu
abiz,habis
bkin,bikin
gemes,gemas
ngga,tidak
ngareppppp,mengharap
aamiinin,amin
aja,saja
aq,aku
lht,lihat
fhoto,foto
yg,yang
imuutt,imut
abizzz,habis
jgn,jangan
tay,tahi
nyaaa,nya
bgt,banget
yg,yang
toketnya,teteknya
sampe,sampai
tumpe2,tumpah-tumpah
lenje,lenjeh
tuuuuh,tuh
cantinya,cantiknya
bgt,banget
gw,gue
kl,kalo
krn,karena
yg,yang
gw,gue
ga,tidak
aneh2,aneh-aneh
ga,tidak
macam2,macam-macam
ga,tidak
yg,yang
"mbak""",mbak-mbak
ngatain,mengatai
lucuu,lucu
bgt,banget
mbaknyaahh,mbaknya
pyudara,payudara
gak,tidak
gk,tidak
ky,kaya
yg,yang
lenje,lenjeh
ap,apa
ajah,saja
bgt,banget
tu,itu
yg,yang
tu,itu
cewe,cewek
lenje,lenjeh
ngatain,mengatai
lenje,lenjeh
lenje,lenjeh
lenje,lenjeh
gak,tidak
gak,tidak
ditutupin,ditutupi
tp,tapi
gk,tidak
pake,pakai
tp,tapi
gak,tidak
bgitu,begitu
yaa,ya
ngomongnya,mengomongnya
gak,tidak
km,kamu
bgt,banget
pengen,pengin
sich,sih
cntik,cantik
bgt,banget
bgt,banget
bnget,banget
cantiik2,cantik-cantik
dech,deh
hati.a,hatinya
blm,belum
mk.a,makanya
gt,begitu
mlt.a,mulutnya
nyerocooooos,mencerocos
trus,terus
blg,bilang
tuk,untuk
org,orang
kyk.a,kayaknya
wkt,waktu
sklh,sekolah
dl,dulu
pljrn,pelajaran
srng,sering
ga,tidak
msk,masuk
yaaa,ya
org,orang
ngilang,menghilang
dikatain,dikatai
maluuu,malu
yaaaa,ya
yg,yang
ngalahin,mengalahkan
tu,itu
ap,apa
kk,kakak
brisi,berisi
tp,tapi
ttp,tetap
kk,kakak
cntik,cantik
ap,apa
ga,tidak
pake,pakai
aja,saja
loo,loh
kk,kakak
laa,lah
pkoknya,pokoknya
kk,kakak
slm,salam
knl,kenal
canti,cantik
y,ya
q,aku
kk,kakak
kk,kakak
astagfirullh,astagfirullah
nutupin,menutupi
amiin,amin
cntik,cantik
liat,lihat
hub,menghubungi
kmn,kemana
klo,kalo
bs,bisa
indo,indonesia
ni,ini
dung,dong
ori,orisinal
yu,yuk
bgt,banget
kakakaaaaaaaaaaaaaa,kakak
kaka,kakak
cantikkkkkkkk,cantik
cantiq,cantik
batwc,banget
kamyuhhh,kamu
yukk,yuk
dbwh,dibawah
rb,ribu
cantikk,cantik
sampe,sampai
pake,pakai
ga,tidak
yuuuk,yuk
yaa,ya
seneng,senang
yg,yang
padet,padat
gara2,gara-gara
makasih,terima kasih
yaa,ya
bukti2,bukti-bukti
bener,benar
say,sayang
gak,tidak
senenggg,senang
yg,yang
yukk,yuk
dr,dari
ngga,tidak
makasih,terima kasih
yaaa,ya
gak,tidak
pede,percaya diri
pengen,pengin
dapetin,mendapati
kepoin,mengepoi
ajaa,saja
belanjaa,belanja
disiniii,disini
hay,hai
temen2,teman-teman
mao,mau
tp,tapi
yg,yang
gak,tidak
murhan,murahan
yah,ya
prwtn,perawatan
wjh,wajah
yg,yang
bgettt,banget
dr,dari
negri,negeri
yg,yang
utk,untuk
bs,bisa
prwtn,perawatan
utk,untuk
mereka2,mereka-mereka
yg,yang
jg,juga
pakke,pakai
uda,sudah
pd,pada
pake,pakai
byk,banyak
prwtn,perawatan
yg,yang
utk,untuk
jgn,jangan
yah,ya
yg,yang
utk,untuk
dipake,dipakai
ga,tidak
bkin,bikin
ktergantungan,ketergantungan
dapet,dapat
tp,tapi
yg,yang
pake,pakai
utk,untuk
prwatn,perawatan
wjh,wajah
dr,dari
org,orang
jg,juga
uda,sudah
pake,pakai
ngebuktiin,membuktikan
hslnya,hasilnya
dr,dari
mrk,mereka
yg,yang
uda,sudah
pake,pakai
utk,untuk
awal2,awal-awal
ga,tidak
setabil,stabil
temen2,teman-teman
nyoba,mencoba
ihh,ih
beneran,benaran
ga,tidak
temen2,teman-teman
maksih,terima kasih
yah,ya
ga,tidak
gratiss,gratis
gak,tidak
ka,kak
kaka,kakak
gak,tidak
udah,sudah
rekomendasiin,merekomendasikan
tetep,tetap
bbrpa,beberapa
"gara""",gara-gara
yg,yang
"benar""",benar-benar
buktiin,membuktikan
ajaibb,ajaib
aja,saja
ga,tidak
nyangka,menyangka
seneng,senang
pokonya,pokoknya
mksh,terima kasih
setujuuu,setuju
klo,kalo
digituin,dibegitukan
klw,kalo
ank,anak
gak,tidak
mw,mau
sekolahin,sekolahkan
ajarin,ajarkan
sendirii,sendiri
sendirii,sendiri
akn,akan
mrnghadapi,menghadapi
yg,yang
dr,dari
yg,yang
dr,dari
tp,tapi
bgmn,bagaimana
apalg,apalagi
naka,nakal
tdk,tidak
jd,jadi
sdkt,sedikit
aja,saja
besar2in,besar-besarkan
cb,coba
dech,deh
mbk,mbak
bgmana,bagaimana
s*inetr*n,sinetron
yg,yang
yg,yang
bs,bisa
mrusak,merusak
yg,yang
cm,cuma
ttg,tentang
gak,tidak
sm,sama
yg,yang
d,di
sbg,sebagai
tdk,tidak
ka,kak
sy,saya
jd,jadi
jd,jadi
sy,saya
mndpt,mendapat
dr,dari
pst,pasti
sy,saya
skt,sakit
tp,tapi
tdk,tidak
jgn,jangan
yg,yang
sebnyak,sebanyak
dpn,depan
org,orang
