slang,formal
sehat2,sehat-sehat
ciyeeeeeee,cie
pantes,pantas
lairannya,kelahirannya
jmnya,jamnya
ajha,saja
ama,sama
nyaaaa,nya
nyari,mencari
amiien,amien
smoga,semoga
terbaikkk,terbaik
ayahh,ayah
ntar,entar
ae,saja
ndak,indak
ngerti,mengerti
mrekaaaa,mereka
yaampuuuunnnn,ya ampun
yha,ya
nyanyiin,menyanyikan
ahhh,ah
bnget,banget
pgen,pengin
hdk,hendak
tempt,tempat
ny,nya
kh,kah
hdk,hendak
bgini,begini
aq,aku
brani,berani
gak,tidak
km,kamu
aq,aku
jalan2,jalan-jalan
yaaa,ya
asyikkkkk,asyik
iriiiii,iri
ngajak,mengajak
yakk,ya
naaaaahh,nah
kka,kakak
jgn,jangan
yak,ya
ttep,tetap
sperti,seperti
jrang,jarang
msuk,masuk
gossip2.an,gosip-gosipan
makkk,mak
ngapain,mengapai
guee,gue
pengennn,pengin
ntar,entar
yeee,ya
klo,kalo
udh,sudah
gilzz,gila
nyaru,menyaru
aja,saja
kk,kakak
gilaaa,gila
jd,jadi
kebarat2an,kebarat-baratan
ohh,oh
mantabs,mantab
jgan,jangan
mlu,malu
payahh,payah
ntaf,mantap
beneran,benaran
"mudah""n",mudah-mudahan
trus,terus
gada,tidak ada
yg,yang
gada,tidak ada
yg,yang
milikin,memiliki
kamo,kamu
inih,ini
tuhh,tuh
suru,suruh
syantik,cantik
sukaaaa,suka
sukaaaaaa,suka
kirain,mengira
mehoonggggg,mahal
apikkkk,apik
yach,ya
kereenn,keren
ginii,begini
ayoook,ayo
gas,ayo
yoiii,yoi
gituuu,begitu
iyaaa,iya
pgn,pengin
liptsk,lipstik
dr,dari
nyeplak,menjiplak
bgt,banget
kyk,kayak
cw,cewek
cw,cewek
kmarin,kemarin
mengncang,mengencang
tauu,tau
ksh,kasih
skrng,sekarang
mksh,terima kasih
gara2,gara-gara
ank,anak
skitar,sekitar
ktmu,ketemu
sma,sama
tmen,teman
skrg,sekarang
dlu,dulu
skrg,sekarang
ats,atas
donk,dong
heii,hai
yg,yang
diputusin,diputuskan
pcrnya,pacarnya
gara2,gara-gara
mnjual,menjual
ngadain,mengadakan
ga,tidak
nyangka,menyangka
kkak,kakak
rekomendasiin,merekomendasikan
sihhh,sih
cooocok,cocok
mrip,mirip
bgt,banget
sma,sama
mama.nyy,mamanya
wkt,waktu
lht,lihat
gak,tidak
bosenin,membosankan
kmu,kamu
bukn,bukan
sey,sih
yng,yang
cantikkk,cantik
banger,banget
kaa,kak
bngt,banget
eakyu,waktu
cntik,cantik
ama,sama
amiiin,amin
kakanya,kakaknya
doeloe,dulu
kk,kakak
cantikkkk,cantik
bngtt,banget
udh,sudah
iyak,iya
malh,malah
mlah,malah
kk,kakak
ngak,tidak
laki2,laki-laki
gag,tidak
fhotonya,fotonya
bleh,boleh
km,kamu
brp,berapa
tnggl,tanggal
brp,berapa
tanteny,tantenya
ky,kaya
qt,kita
dlu,dulu
sklinyaa,sekalinya
ayoo,ayo
km,kamu
bs,bisa
jd,jadi
kk,kakak
yah,ya
w,gue
dramaa,drama
niiih,nih
bisaa,bisa
lha,lah
dunk,dong
lihaat,lihat
yuwkkk,yuk
nnti,nanti
editannn,editan
mw,mau
thu,tuh
mai,mau
kamuu,kamu
pastii,pasti
bisaaa,bisa
kejuu,keju
kereen,keren
nama.a,namanya
kmauan,kemauan
ayoo,ayo
ahhhh,ah
yuuuuk,yuk
dmana,dimana
disiniii,disini
cobaa,coba
bayangin,bayangkan
yaudh,ya sudah
bayangin,bayangkan
dl,dulu
ajaaa,saja
tuhhh,tuh
amploppp,amplop
mo,mau
kek,kayak
gini,begini
yaaa,ya
sayangg'',sayang-sayang
nantii,nanti
aminnnn,amin
aminnnnn,amin
gakuat,tidak kuat
yukkkk,yuk
nged,banget
nantik,nanti
ksitu,kesitu
yng,yang
bangeett,banget
slalu,selalu
liad,lihat
kluarga,keluarga
biasahhh,biasa
bgt,banget
sma,sama
kluarga,keluarga
ama,sama
tutorialx,tutorialnya
pke,pakai
yg,yang
dpke,dipakai
kk,kakak
dpke,dipakai
donk,dong
yank,sayang
liat,lihat
fhoto,foto
kerenn,keren
binggo,banget
rekomndd,rekomendasi
donk,dong
dmn,dimana
pngn,pengin
bli2n,beli-belikan
bwt,buat
wado,waduh
guaa,gua
yaakkk,ya
bangetttttyt,banget
