index,comments
61,Pak Anies please jangan mau dirayu2 sama tetangga ya pak.. Jgn tinggalin kita pak.. Pokonnya jangan kaya tetangga sebelah🙏🙏🙏 biar kata rumput tetangga lebih hijau.. Tp yakin deh pak... Banyak kaya semangka.. Luarnya hijau dalamnya merah. Semoga pak Anies Baswedan RI 1 2024 untuk membawa perubahan dan memberikan kesejahteraan bagi semua warga negara RI. #semangattrsya
62,Jadi Menteri Pendidikan aja dulu Penuh Kontroversi....sklg mau jadi Presiden
63,Rubah lah org keluar dari rumah sakit jadi kaya😂😂😂
64,Pendukunh ANISSSS WOIII DP 0% ..Taek
65,Hahahahahaha... perubhan opo .. basi.. itu itu aja dri dlu juga bgtu.. itu bukan perubhan t
66,"DP 0% udah, next bunga 0% pak 🙏😁"
67,Smg mendapat kemudahan dr Allah utk perubahan perbaikan pd Indonesia
68,Cari kerjaa gampang pakk sembako murahh bbm.muraah kesehatann mudah hukumm tajam ke atass hukum.tajam ke bawah
69,Ya Allah ijin kan dan takdir kan pak Anis jadi pemimpin negara Indonesia🤲
70,Perubahan kelebihan bayar jadi dia kali lipat 🔥
71,"cmn org yg pinter ngerti tentang perubahan, 😂"
72,Perubahan utk lebih adil utk lebih baik utk kebih terjangkau utk lbh memakmurkan seluruh rakyat
73,Cerdas
74,🔥🔥🔥
75,Anies & Ignasius Jonan.. 🤲🏻
76,Hayo kono
77,"sampai saat ini program2 yg dismapaikan Pak Anies mnurut saya masih  template sperti program2 kampanye pada umumnya, belum terlihat gebrakan apapun...kami tunggu trobosan2 inovatifnya Pak Anies.."
78,Obat buat mata Plus....apa yaaa😂
79,"2 x saya pilih Jokowi, sekarang saya pilih Prabowo jadi Presiden RI 2024. Amin 🙏😇"
80,A.N.I.S..(Agar. Negara. Indonesia. Sejahtra)❤️❤️
81,Tahukah kamu jika ngelike komentar ini tidak perlu tekan tombol love? Cukup tap 2x pada komentar ini
82,Masih bisa dipercaya Bhw Bpk Anis bisa melakukan perbaikan ekomoi msyarakt  menjadi baik
83,😍😍
84,"Cek Storyku dong kalo berani, Khusus yang 18++ Aja yaa. Pin komenku min 🥰🥰"
85,"Permisi kak maaf izin bertanya, saya tuh abis lahiran dan kebetulan bb saya susah banget buat turun btw ada yg tau gak yah solusinya gimana capek banget kalau mau aktivitas apapun karena punya bb berlebihan😭"
