comments
"Definisi apa2 sudah terkonsep ya begini. Jadi ke depannya paham betul apa yang harus dilakukan untuk kesejahteraan rakyat, bukan pribadi. Mudah2an Pak Anies Allah jaga dari orang2 jahat dan Allah bantu untuk mempermudah menjalankan semua yang beliau cita2kan. Aamiin yaa Allah.."
"Semoga Allah meridhoi, semua program2 pak Anies, sehat terus bapak Presiden 2024"
Ya Allah semoga presidenku selanjutnya adalah pak Anies Baswedan Aamiin Yaa Rabbal Aalamiin 🤲🏻
"Insya Allah pilihanku , bukan karena partai tetapi figur dan kriteria yang pantas memimpin Bangsa Indonesia kedepan"
Bismilah... PRABOWO RI 1 ✔️ AMIN
Bismillah pak Anies presiden RI ❤️
Semoga kelak terpilih jadi Presiden ya pak Anies...
Terbaik Selalu 👍👍👍👍👍
Kami sekeluarga siap mendukung prubahan. Dengan mengucap bismillah kami siap datang paling pertama ke TPS untuk dukung pak anies dan partai nasdem. Semoga Allah meridhoi dan Indonesia bisa lebih baik dan berkeadialan.
Mantap
Rakyat menginginkan perubahan  penegak hukum  de el el..
Liat VIDEO terbaru diposting sm Babeh @haikalhassan_quote ...Negrii...Banteng kerahkan kader2 walikota dan Bupati tempel2 stiker kerumah2 warga..mengahalalkan segala cara mereka lakukan
Ingin Pak @aniesbaswedan Jadi Presiden ❤️
Benar sekali bapak.. kami butuh perubahan 😢😢
Selalu dukung pak Anis siapapun calonya.. ga masalah bagi gue...
Sehat selalu pak Anies Baswedan
Bismillah yuuuk bisaaa ❤️❤️❤️
Visi Misi Mulia ' Semoga di mudahkan jalankan Pak Anies
Bismillah Pak Anies Baswedan RI 2024 Aamiin.........
Anies gatot
Perubah yang saya inginkan bagus bapak Anis gausah ngecapres itu perubahan yang saya inginkan.
"Capres sudah pasti saya dukung tapi wapresnya...😂duh maaf 🙌🙌🙌🙌saya ngga kenal,..dan dari hati nurani saya bilang bukan orang baik jd maaf saya tarik suara saya..saya bukan simpatisan demokrat ato kader tp saya mewakili jutaan  pemilih Pak anies yg kurang respek sama .capresnya.sekian"
"😂😂😂 hidup murah ? Teringat ada spanduk “ dimodalin punya business, disediakan tempat usaha, dicarikan pembeli “ coblos nomor 3 💩💩💩 ngomong sih enak, sdh terpilih lupa semua, masih mau percaya ?"
Sayangnya koq sama Pak Muhaimin...... I think is not suitable
